date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-10-29,Black,V8,3c67e7daadc3357cf023fa80b8f000b0,4.0,Red Point,wall-boulders,288.8,thanks to takuto_lehr for the beta. constant barndooring.
2019-10-29,Red,V9,e1d6e9483de3628f1fef937451dab569,5.0,Red Point,wall-boulders,161.2,powerful﹐ then techy footwork﹐ and then a scary sideways Dyno that almost broke my neck when I bellyflopped falling from it. thanks to mix_royce for her safer finish beta
2019-10-27,Lime Green,5.13a,0e8532262e45bb2b8dbe2e4ac7fd029e,4.0,Top Rope,wall-back-wall,243.4,lucky 13th go. first half is significantly harder﹐ and significantly more fun 
2019-10-27,White,V4,86b78c2453a08bcb48accb6cab01343f,,Flash,wall-mezzanine,114.6,
2019-10-27,Yellow,V4,1f0dfaab25dd30c6651b37d57237ab1d,,Flash,wall-mezzanine,114.6,
2019-10-27,White,V3,64c50ba418cedd9fd9584c57d6aabea1,,Flash,wall-mezzanine,114.6,
2019-10-27,Lime Green,V5,b24f12b53d701f945d1f3ebf68cd2056,4.0,Flash,wall-mezzanine,114.6,
2019-10-27,Black,V5,d1529c7dbd14dabc946616289243e604,,Red Point,wall-mezzanine,39.7,
2019-10-27,Pink,V1,2abf771dd47a743f213aeab6952aef52,,Flash,wall-mezzanine,39.7,
2019-10-27,Blue,V1,1da4e7e709390f68bcd2d45a360f9176,,Flash,wall-mezzanine,39.7,
2019-10-27,Yellow,V2,ee4b6cce795e06f6d1bc24013947ec31,,Flash,wall-mezzanine,39.7,
2019-10-27,Yellow,V8,bb3b33c73dd53fc5a859384b89248be5,5.0,Red Point,wall-boulders,222.0,Skipped the second move to do it in 2.
2019-10-24,White,5.9,30003fb16f44e4ff5dcb612e88e3d208,,Onsight,wall-red,50.1,
2019-10-24,Pink,5.10d,2e69a5d122247fc374886537ae0482ab,,Onsight,wall-back-wall,1067.3,
2019-10-24,White,5.10a,7f94d2149bbbe1d1b1a917d130873f27,,Onsight,wall-back-wall,1168.2,
2019-10-24,Yellow,5.9,fecccff1ab31f29b00dd3c27844f4627,,Red Point,wall-red,262.5,
2019-10-23,Blue,V4,c02780acc69307da661a91fa8d891d52,,Flash,wall-slab,48.7,
2019-10-23,Yellow,V0,d938da407de62e7c8b0591a4ba31611c,,Flash,wall-slab,118.8,
2019-10-23,Yellow,V0,d938da407de62e7c8b0591a4ba31611c,,Flash,wall-slab,118.8,
2019-10-23,Yellow,V5,f5fc438d5bd2ed3af4a42b78d56d1c39,,Flash,wall-slab,118.8,
2019-10-23,Red,V3,a6bcdb833e26466c666edca1f8c57d0d,,Flash,wall-slab,192.9,
2019-10-23,Lime Green,V5,20528b2064c47d669f5cdc6e911a156a,,Red Point,wall-boulders,581.0,
2019-10-21,Red,V6,7e02a5eae8b6d6d7e55ad1803f0b35a7,4.0,Flash,wall-boulders,222.0,
2019-10-21,Lime Green,V5,889b06e9dd36039cdf3f1eb74ad410fc,,Flash,wall-boulders,222.0,
2019-10-21,Black,V4,7e2c97c18ee1a2b7fe69f55b499ab041,,Flash,wall-boulders,222.0,
2019-10-20,Pink,5.10b,238846b13e3522b5eae9a6e7ffdee8f2,,Onsight,wall-island,365.2,tr
2019-10-20,Black,5.10b,229bda5553cc5668839477ce242d0d4a,,Onsight,wall-back-wall,1098.7,
2019-10-19,Purple,V0,53b826d5e7f779401d64886382542657,,Flash,wall-boulders,87.1,
2019-10-19,Lime Green,V3,b6af4b738b514e8d3c5cd7bcc4a50930,,Flash,wall-boulders,87.1,
2019-10-19,White,V1,869dd21a22174418a2d1dc41d46c4c69,,Flash,wall-boulders,87.1,
2019-10-19,Pink,V4,7c65ecd43d534459153e02e7842e9b47,,Flash,wall-boulders,87.1,
2019-10-19,Blue,V0,618e87f0d21caa2132be50c79910e2ee,,Flash,wall-boulders,87.1,
2019-10-19,Black,V3,e5289c94ed974e2198beac69fcdb2230,,Flash,wall-boulders,87.1,
2019-10-19,Black,V3,8f42b664427668f528253a5c7952a257,,Flash,wall-boulders,161.2,
2019-10-19,Lime Green,V2,80eba7bb095082696f16c73c7020658b,,Flash,wall-boulders,161.2,
2019-10-19,White,V5,b68f4380c00685742cba85bf8991983c,,Flash,wall-boulders,161.2,
2019-10-19,Tan,V2,eed73133c3626e672b4a4335bcd76ca1,,Flash,wall-boulders,161.2,
2019-10-19,Pink,V5,168ab386cacccd50435fdbcd4c4d6ca6,,Flash,wall-boulders,161.2,
2019-10-18,Yellow,V4,1a293917e74b3c93c6ec0aa943a44ac9,4.0,Flash,wall-boulders,161.2,
2019-10-15,Lime Green,V7,06b04b3639ff9e43d0c5a9f95214226a,4.0,Red Point,wall-slab,192.9,fun﹐ would give 5 stars if not for the awkwardness of the arete off but hold around the arete on. with the tape it wasn't easier but was less awkward.
2019-10-15,White,V6,ccb52971fe318292eaeb1313216054bf,5.0,Red Point,wall-slab,118.8,
2019-10-14,Lime Green,5.11a,2baaac3f76169ec892d56bd91247bbae,,Onsight,wall-auto-belay,222.1,ab
2019-10-14,Pink,5.11a,299b4b2b28e752f832fd50228af3a9ab,,Onsight,wall-auto-belay,273.1,ab
2019-10-11,Blue,V2,946ad60d4fd2baa72c5cbbb6bce21b0d,,Flash,wall-slab,118.8,
2019-10-11,Blue,V6,e5693d8e11dc64d3ce2afa4d91533d31,5.0,Red Point,wall-slab,192.9,jumping with right first makes it easier
2019-10-10,Tan,V1,11989873e17619fe5343a1ba64b7f9fa,,Flash,wall-slab,192.9,
2019-10-10,Lime Green,V1,7ca468cc337692ccc0ce64d3bb3e1c9c,,Flash,wall-slab,118.8,
2019-10-10,Lime Green,V1,7ca468cc337692ccc0ce64d3bb3e1c9c,,Flash,wall-slab,118.8,
2019-10-10,Red,V2,33efde04bb65f86081d0df92f65a7030,,Flash,wall-slab,48.7,
2019-10-10,White,V1,ca12063c63ee41afc220ba5f3871c9f2,,Flash,wall-slab,192.9,
2019-10-10,Blue,V7,7506d25fe3905fe1da1e0fbe97a0b833,3.0,Red Point,wall-boulders,87.1,the first move should be separate from the rest﹐ as the rest is a really fun v4
2019-10-10,Black,V7,d4991966275c6c0178022625d018c4a6,3.0,Red Point,wall-mezzanine,114.6,cool﹐ but some painful crimping
2019-10-10,Yellow,5.11a,d27ae2ff6b1aae74878a8c1b8c274359,,Onsight,wall-auto-belay,68.3,
2019-10-10,White,5.9,c31e82c4ef05972e925a17bd02a5f194,,Onsight,wall-back-wall,1353.6,
2019-10-10,Lime Green,5.13a,0e8532262e45bb2b8dbe2e4ac7fd029e,4.0,Attempt,wall-back-wall,243.4,second half gets way easier
2019-10-10,Pink,V2,ea736d7ca3d4de797697abbe98d26239,,Flash,wall-boulders,581.0,
2019-10-10,Blue,5.12c,3c04743381d39500b944798d67edb3ab,,Attempt,wall-red,110.4,
2019-10-10,Red,5.10a,93f15416d3b0c8afabaa2f3e4849175d,,Onsight,wall-red,132.5,
2019-10-10,Lime Green,5.10c,a2c6643dc70a19662a992459872ee683,,Onsight,wall-red,24.0,
2019-10-10,Tan,V0,49efe8fc0707b96899533ae9df7d1b68,,Flash,wall-boulders,423.0,
2019-10-10,Lime Green,V2,2ea31704380cf8a03aecb6c893f013cd,,Flash,wall-boulders,423.0,
2019-10-10,Blue Right,V1,7fbbc7eaf962b30968802a13fb1f1d65,,Flash,wall-boulders,423.0,
2019-10-10,Pink High Start,V3,7cb5b735dfa9a9feb215bd1be28d1d01,,Flash,wall-boulders,505.7,
2019-10-10,White High Start,V3,b2931a489bad4cffe471a80088fd93a5,,Flash,wall-boulders,505.7,
2019-10-10,White Low Start,V4,fae6020c4ba341d60cd5eef64a8492e7,,Flash,wall-boulders,505.7,
2019-10-10,Black,V3,e137d99bc38560c750e5f67a56dbd0bf,,Flash,wall-boulders,667.3,
2019-10-10,Pink,V5,12ee4227057bf2da22755e5ba78f6951,,Flash,wall-boulders,288.8,
2019-10-10,Yellow,V3,02254f8b4527f15017b6b2d9a6141602,2.0,Flash,wall-boulders,288.8,
2019-10-10,Tan,V0,84a0447acd8f976c1c92893390017e6a,,Flash,wall-boulders,288.8,
2019-10-10,Blue,V5,d4b3870d44b864aefec993a751e5e652,,Red Point,wall-boulders,288.8,
2019-10-10,Lime Green,V4,a7e5995c83813caec204762e2fe4fc82,,Flash,wall-boulders,288.8,
2019-10-10,Purple,V2,64d076e5ec6430ec7b92aefc5972ecf5,,Flash,wall-boulders,359.0,
2019-10-10,Blue,V2,b6202efada5c129877e43dcedd403f67,,Flash,wall-boulders,359.0,
2019-10-10,Black,V3,a560a1021f8febc3cedb307410466a3f,,Flash,wall-boulders,359.0,
2019-10-10,Lime Green,V1,ccd2b1eb96f983428bd61ba5c04dcd24,,Flash,wall-boulders,359.0,
2019-10-10,Pink,V4,e7f8d67bf682a224a598d0a2b1df5063,4.0,Flash,wall-boulders,359.0,
2019-10-04,Yellow,V1,e2caaccc80deddfd3b0086ee36f4546c,,Flash,wall-slab,192.9,
