date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-01-29,Yellow,5.6,250ada8699382a9369cf3477d8cef4cb,3.0,Top Rope,wall-auto-belay,343.2,
2019-01-29,Pink,5.8,a3baed1839365f71ec5bc79f0cbd7c4f,3.0,Top Rope,wall-auto-belay,342.5,
2019-01-29,Lime Green,5.7,cffcf511f698da73bc005a0c57a5df9a,5.0,Top Rope,wall-auto-belay,304.0,
2019-01-29,Tan,5.9,4240b9328b74f7a83446c7a805b99ee8,3.0,Top Rope,wall-auto-belay,249.2,
2019-01-29,Pink,5.9,5d39d37989f108ea53cb5e8f3111b717,3.0,Top Rope,wall-auto-belay,221.5,
2019-01-29,Blue,5.10b,d16742559fbe4127343c09c54ce531de,3.0,Top Rope,wall-auto-belay,196.3,
2019-01-29,Grey,5.9,4f612997dbffa0e1282d0a4efae3e07f,3.0,Top Rope,wall-auto-belay,172.4,
2019-01-21,Red,V5,f499e88c511b4f05d7e9b4178dbec165,3.0,Red Point,wall-mezzanine,39.7,
2019-01-21,Pink,V5,c8754b7a5851b1b90b8c0ed753ec9607,3.0,Red Point,wall-boulders,793.8,
2019-01-21,Black,V5,29e663f793333d6c73bcedee057e8600,5.0,Red Point,wall-mezzanine,39.7,
2019-01-14,Purple,V0,d7ac75b8b641f762e49162f6477f0b1b,3.0,Onsight,wall-slab,192.9,
2019-01-14,White,V0,ed608d9a90465c23c4fbbc487df63690,3.0,Onsight,wall-slab,118.8,
2019-01-14,Black,V3,82c709dcc2a7d90fdb7fa51200be5274,3.0,Onsight,wall-slab,118.8,
2019-01-14,Tan,V0,96192d5a8051bfd75cdd26705259a46e,3.0,Onsight,wall-boulders,359.0,
2019-01-14,Lime Green,V0,a9c30376db308733028c23a04776fe4b,3.0,Onsight,wall-boulders,667.3,
2019-01-14,Red,V1,9dcc0537dda258efd469981adb6b4e34,3.0,Onsight,wall-slab,48.7,
2019-01-14,White,V3,d51b298911e6b78f0ec5883108d5f48a,3.0,Onsight,wall-slab,48.7,
2019-01-14,Pink,V1,d808023194bf597d2cd932b89810d0ce,3.0,Onsight,wall-boulders,581.0,
2019-01-14,White,V1,15bcda4068d17aaf939d7208cd242a15,3.0,Onsight,wall-boulders,793.8,
2019-01-14,Pink,V2,141a23084ca9b5dd39b6d8e9670cd7e9,3.0,Onsight,wall-slab,192.9,
2019-01-14,Black,V1,d006e610c8577a576060af243ef0e4c3,3.0,Onsight,wall-boulders,581.0,
2019-01-14,Purple,V0,60dee7544902f9a85c45012834c07078,3.0,Onsight,wall-mezzanine,114.6,
2019-01-14,Lime Green,V0,d507658c7872a92c58965c7603b9e061,3.0,Onsight,wall-mezzanine,39.7,
2019-01-14,Yellow,5.6,250ada8699382a9369cf3477d8cef4cb,3.0,Top Rope,wall-auto-belay,343.2,
2019-01-14,Red,V2,2cd37c1240eeb2474ff10d8026a0a9a8,3.0,Onsight,wall-slab,192.9,
2019-01-14,Pink,5.8,a3baed1839365f71ec5bc79f0cbd7c4f,3.0,Top Rope,wall-auto-belay,342.5,
2019-01-14,Pink,5.8,a3baed1839365f71ec5bc79f0cbd7c4f,3.0,Top Rope,wall-auto-belay,342.5,
2019-01-14,Lime Green,5.7,cffcf511f698da73bc005a0c57a5df9a,5.0,Top Rope,wall-auto-belay,304.0,
2019-01-14,White,5.9,3329f512d882469afbab061a9584e219,3.0,Top Rope,wall-auto-belay,274.3,
2019-01-14,Red,5.10b,76c7b490994383734a7679d9553f8e5e,3.0,Top Rope,wall-auto-belay,273.7,
2019-01-14,Yellow,5.11a,976398e1623fc0b52499bb8f042b7aa7,3.0,Top Rope,wall-auto-belay,195.7,
2019-01-14,Purple,5.8,a021b9e4c918bf9c758c44f868758d71,3.0,Top Rope,wall-auto-belay,173.0,
2019-01-14,Yellow,V1,2b5c9d62743c13d293a6d1d860f36874,3.0,Onsight,wall-mezzanine,114.6,
2019-01-14,White,V2,ca89975a2b9ac251494527393be00259,3.0,Onsight,wall-mezzanine,39.7,
2019-01-14,Blue,V2,f50926a4db431481e26ab9ae64ed5dc5,3.0,Onsight,wall-mezzanine,114.6,
2019-01-14,Blue,V1,c07fcdf02ea1e7c69b9181be93b009fd,3.0,Onsight,wall-mezzanine,114.6,
2019-01-14,Yellow,V2,654b34556c11f875d455d2940dd10c7a,3.0,Onsight,wall-slab,118.8,
2019-01-14,Black,V2,599325ae5a5efad2aa66bcce5cb61768,3.0,Onsight,wall-boulders,359.0,
2019-01-14,White,V1,4ce15d9a61d5356b39cb394aa2295495,3.0,Onsight,wall-boulders,359.0,
2019-01-14,Pink,V3,596f9102be589e2ae91ed963bc291ca9,3.0,Onsight,wall-boulders,667.3,
2019-01-14,Red,V2,db8f9b2686fbdb07699082d41d1e9c01,3.0,Onsight,wall-boulders,793.8,
2019-01-14,White,V3,4adeb546e2f9be85ac91e5d3d58a52c0,3.0,Onsight,wall-slab,192.9,
2019-01-14,Blue,V3,6a2f08d3f5bc19acf65fd0456eeefe75,3.0,Red Point,wall-slab,192.9,
2019-01-10,Yellow,5.6,250ada8699382a9369cf3477d8cef4cb,3.0,Red Point,wall-auto-belay,343.2,
2019-01-10,Pink,5.8,a3baed1839365f71ec5bc79f0cbd7c4f,3.0,Red Point,wall-auto-belay,342.5,
2019-01-10,Purple,5.11a,4ff2f7ae7d23148c048f2ef623c9594e,4.0,Red Point,wall-auto-belay,341.8,
2019-01-10,Lime Green,5.7,cffcf511f698da73bc005a0c57a5df9a,5.0,Red Point,wall-auto-belay,304.0,
2019-01-10,Lime Green,5.7,cffcf511f698da73bc005a0c57a5df9a,5.0,Red Point,wall-auto-belay,304.0,
2019-01-10,Yellow,5.6,0ea5d14b53404c9e642b14223290c6ce,3.0,Red Point,wall-auto-belay,249.8,
2019-01-10,Blue,5.10d,2aefb6c2f4fe3f1a89316559c6c075ad,3.0,Flash,wall-auto-belay,248.5,
2019-01-10,Grey,5.5,2571c21f5af6816199a6ce5906e3d124,3.0,Red Point,wall-auto-belay,222.1,
2019-01-10,Yellow,5.11a,976398e1623fc0b52499bb8f042b7aa7,3.0,Flash,wall-auto-belay,195.7,
2019-01-10,Purple,5.8,a021b9e4c918bf9c758c44f868758d71,3.0,Red Point,wall-auto-belay,173.0,
2019-01-10,Grey,5.9,4f612997dbffa0e1282d0a4efae3e07f,3.0,Red Point,wall-auto-belay,172.4,
2019-01-07,Yellow,5.6,250ada8699382a9369cf3477d8cef4cb,3.0,Onsight,wall-auto-belay,343.2,
2019-01-07,Blue,5.10d,362a23a312cc3a787775525d1c4e0142,4.0,Onsight,wall-auto-belay,302.7,
2019-01-07,Black,5.11b,6d705ebeaff16ab21030d4d98c8f4c32,3.0,Flash,wall-auto-belay,273.1,
2019-01-07,Blue,5.10d,2aefb6c2f4fe3f1a89316559c6c075ad,3.0,Onsight,wall-auto-belay,248.5,
2019-01-07,Grey,5.5,2571c21f5af6816199a6ce5906e3d124,3.0,Onsight,wall-auto-belay,222.1,
2019-01-07,Pink,5.9,5d39d37989f108ea53cb5e8f3111b717,3.0,Onsight,wall-auto-belay,221.5,
2019-01-07,Yellow,5.11a,976398e1623fc0b52499bb8f042b7aa7,3.0,Onsight,wall-auto-belay,195.7,
2019-01-07,Purple,5.11a,4ff2f7ae7d23148c048f2ef623c9594e,4.0,Flash,wall-auto-belay,341.8,
2019-01-07,Tan,5.7,547c055ebfa7dab4470776fb13b5ece4,3.0,Onsight,wall-auto-belay,418.1,
2019-01-07,Yellow,5.8,021b804500d3d9b36e3347d20779919f,3.0,Onsight,wall-auto-belay,391.2,
2019-01-07,Blue,5.10a,fb180e2aa8e1f737a9cd0a60ea8ca1bb,3.0,Onsight,wall-auto-belay,390.5,
2019-01-07,Pink,5.8,a3baed1839365f71ec5bc79f0cbd7c4f,3.0,Onsight,wall-auto-belay,342.5,
2019-01-07,Lime Green,5.7,cffcf511f698da73bc005a0c57a5df9a,5.0,Onsight,wall-auto-belay,304.0,
2019-01-07,Grey,5.9,4f612997dbffa0e1282d0a4efae3e07f,3.0,Red Point,wall-auto-belay,172.4,
2019-01-07,Purple,5.8,a021b9e4c918bf9c758c44f868758d71,3.0,Red Point,wall-auto-belay,173.0,
2019-01-07,Blue,5.10b,d16742559fbe4127343c09c54ce531de,3.0,Red Point,wall-auto-belay,196.3,
2019-01-07,Lime Green,5.7,dc718ae1b29f222eab7341a11fef1681,3.0,Red Point,wall-auto-belay,196.9,
2019-01-07,Tan,5.9,4240b9328b74f7a83446c7a805b99ee8,3.0,Red Point,wall-auto-belay,249.2,
2019-01-07,Yellow,5.6,0ea5d14b53404c9e642b14223290c6ce,3.0,Onsight,wall-auto-belay,249.8,
2019-01-04,Red,V2,2cd37c1240eeb2474ff10d8026a0a9a8,3.0,Red Point,wall-slab,192.9,
2019-01-04,Pink,V3,596f9102be589e2ae91ed963bc291ca9,3.0,Onsight,wall-boulders,667.3,
2019-01-04,Lime Green,V2,a8efeccf5c6846576c205464b39ea956,3.0,Onsight,wall-boulders,793.8,
2019-01-04,Tan,V0,96192d5a8051bfd75cdd26705259a46e,3.0,Red Point,wall-boulders,359.0,
2019-01-04,Lime Green,V0,a9c30376db308733028c23a04776fe4b,3.0,Red Point,wall-boulders,667.3,
2019-01-04,Purple,V0,d7ac75b8b641f762e49162f6477f0b1b,3.0,Red Point,wall-slab,192.9,
2019-01-04,Purple,V0,c917b8d559ba8e749da4c7d16504b3ea,3.0,Red Point,wall-boulders,793.8,
2019-01-04,White,V1,15bcda4068d17aaf939d7208cd242a15,3.0,Red Point,wall-boulders,793.8,
2019-01-04,White,V1,4ce15d9a61d5356b39cb394aa2295495,3.0,Red Point,wall-boulders,359.0,
2019-01-04,Black,V2,599325ae5a5efad2aa66bcce5cb61768,3.0,Red Point,wall-boulders,359.0,
2019-01-04,Pink,V2,141a23084ca9b5dd39b6d8e9670cd7e9,3.0,Red Point,wall-slab,192.9,
2019-01-04,Blue,V3,52a29bcf6befa27928fc797f7b433194,3.0,Red Point,wall-boulders,359.0,
