date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-03-31,Blue,V1,daeb99ef9934ba3a2b0a77c57283cbb6,3.0,Red Point,wall-boulders,359.0,
2019-03-31,Yellow,V0,560bddfb714ae709e0b55fc8c01946ba,3.0,Red Point,wall-boulders,581.0,
2019-03-31,Blue,V1,97d7fac0cfdeff320275de843417689c,3.0,Red Point,wall-boulders,793.8,
2019-03-31,Yellow,V0,f0547225528505dd3ca697fba0cdc849,3.0,Red Point,wall-slab,118.8,
2019-03-30,Yellow,V0,edab89391ed452de4f7f2bbd45ea86ee,3.0,Flash,wall-boulders,793.8,
2019-03-30,Yellow,V0,8ce2e4f6a6c58c146c17efba2974b0f1,3.0,Flash,wall-slab,118.8,
2019-03-24,Blue,V1,97d7fac0cfdeff320275de843417689c,3.0,Flash,wall-boulders,793.8,
2019-03-24,Blue,V1,daeb99ef9934ba3a2b0a77c57283cbb6,3.0,Red Point,wall-boulders,359.0,
2019-03-24,Yellow,V0,f0547225528505dd3ca697fba0cdc849,3.0,Flash,wall-slab,118.8,
2019-03-24,Yellow,V0,560bddfb714ae709e0b55fc8c01946ba,3.0,Flash,wall-boulders,581.0,
2019-03-24,Lime Green,V0,a9f810907c5ae3522973c781f2226035,3.0,Flash,wall-mezzanine,114.6,
2019-03-21,Blue,5.8,cecb24a19e79c93fe3de29444a4d3f63,3.0,Top Rope,wall-island,246.0,
2019-03-20,Purple,5.10a,6557740dcc03116c71933aeca2ffae5b,3.0,Top Rope,wall-back-wall,895.6,
2019-03-20,Yellow,5.6,79d7605700cb58a75e606e8ef6123c4f,3.0,Top Rope,wall-back-wall,1434.0,
2019-03-20,Blue,5.9,988fa13399711efee84db1f5c7a16115,3.0,Top Rope,wall-back-wall,829.3,
2019-03-20,Tan,5.8,a0660e19f7dd03f6783de454fc2f50eb,3.0,Top Rope,wall-island,266.2,
2019-03-10,Yellow,V0,32cab75cc453e00b7071e6d008026006,3.0,Red Point,wall-slab,118.8,
2019-03-10,Lime Green,V0,95008bdb438aa1cc49b25ab851a8179d,3.0,Red Point,wall-slab,192.9,
2019-03-10,White,V1,ab36be18dc16afdfc462f2efedf59e65,3.0,Red Point,wall-boulders,359.0,
2019-03-10,White,V1,ab36be18dc16afdfc462f2efedf59e65,3.0,Red Point,wall-boulders,359.0,
2019-03-10,Blue,V0,64ea47c11037bc93138094d78936ecae,3.0,Red Point,wall-boulders,359.0,
2019-03-10,Lime Green,V0,46e6224b81223c9a6daa42106e04ed28,3.0,Red Point,wall-boulders,423.0,
2019-03-10,Black,V1,e9af4aa3550625490793ba36dbef7d4e,3.0,Red Point,wall-boulders,581.0,
2019-03-10,Lime Green,V0,4307398f52fe8a65c686a2aaf47492d0,3.0,Red Point,wall-boulders,667.3,
2019-03-10,Black,V1,53f6a9bbf290a18f0ad1ce3c12762c22,3.0,Flash,wall-boulders,793.8,
2019-03-10,Blue,V1,50083e9d51b64842ed16e0df244be875,3.0,Red Point,wall-boulders,793.8,
2019-03-10,Blue,V0,d83fd724dfc070cef430a4992d4a3853,3.0,Red Point,wall-mezzanine,114.6,
2019-03-10,Blue,V1,efb22ae4cd1bef7443bb49c135adb840,3.0,Flash,wall-mezzanine,39.7,
2019-03-10,Blue,V0,dab297a9dc9c45dba60dc8bd773c70e7,3.0,Red Point,wall-mezzanine,114.6,
