date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-01-31,Green,5.6,ceafab2dbd4cc2a741ab9b54ecf3d1d4,3.0,Top Rope,wall-fox,123.6,
2019-01-31,Blue,5.5,cd2c480c6bd2409006ac3ab4f5cd4852,3.0,Top Rope,wall-fox,92.1,
2019-01-31,White,5.7,d463b7958d3103097d353e96c056ae0b,3.0,Top Rope,wall-fox,122.9,
2019-01-31,Lime Green,5.6,5a3d5b574c50e47d753c64309bb7579e,3.0,Top Rope,wall-red,156.3,
2019-01-31,Yellow,5.7,f34c937606056768201242b288987f36,3.0,Top Rope,wall-red,24.0,
2019-01-28,Lime Green,5.9,8c03a96f1c2b6d4779936bed50457173,5.0,Red Point,wall-auto-belay,453.6,
2019-01-28,White,5.5,50f71c4b4439fdf47019e37992fb8f83,4.0,Red Point,wall-back-wall,1408.5,
2019-01-28,Yellow,5.6,79d7605700cb58a75e606e8ef6123c4f,4.0,Red Point,wall-back-wall,1434.0,
2019-01-28,Tan,5.7,2e90e305e4106ba67e2079ce90541570,4.0,Red Point,wall-island,127.1,
2019-01-28,Yellow,5.6,c217019c71a50f96ee949337c99a4aaf,3.0,Red Point,wall-island,91.7,
