date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-10-30,Purple Left,V2,195e8ab11ac32e8685a1c6077ae92c7a,5.0,Red Point,wall-mezzanine,39.7,
2018-10-30,Purple,V1,11a2b4f4232eadf32f5c2b63929089b6,4.0,Flash,wall-mezzanine,114.6,
2018-10-30,Purple,V1,11a2b4f4232eadf32f5c2b63929089b6,4.0,Flash,wall-mezzanine,114.6,
2018-10-30,Lime Green,V0,ff196d0cc95824649b66c98010434e4d,3.0,Flash,wall-mezzanine,39.7,
2018-10-30,Black Left,V0,518075a0231b5d5e5f536a04be414bc0,3.0,Flash,wall-mezzanine,114.6,
2018-10-30,Lime Green,V1,b8fa15fb9c1aa444fb564450ff099697,3.0,Flash,wall-mezzanine,114.6,
2018-10-30,Black,V3,ef15d19a171d6eb85a943dff7ac6ca4a,5.0,Red Point,wall-mezzanine,39.7,
2018-10-29,Yellow,V4,f1819f795f7fc38a9ae5d3b8e7af24cc,5.0,Red Point,wall-slab,48.7,good one
2018-10-29,Yellow Right,V2,842795bc70c90877eb7b7d697047ac00,3.0,Red Point,wall-slab,192.9,
2018-10-29,Yellow,V0,a149472b359e1e233c84af613e1f231c,3.0,Flash,wall-boulders,288.8,
2018-10-29,Tan Right,V1,1637c33a91140163c71ca28a88fcabe5,3.0,Flash,wall-boulders,359.0,
2018-10-29,Purple,V2,dbe2654a95262518e69774a56dbb2525,5.0,Red Point,wall-boulders,359.0,
2018-10-16,Yellow Left,V0,983c49d6a1e5da0a8434a23cced35539,5.0,Flash,wall-boulders,793.8,
2018-10-09,Black,V2,e9f1e559623cdb743f31c8a00dc0017a,5.0,Red Point,wall-slab,118.8,
2018-10-09,Black,V2,e9f1e559623cdb743f31c8a00dc0017a,3.0,Red Point,wall-slab,118.8,
2018-10-09,Lime Green Left,V1,284f324d139522ca7bdb2cf2f07bc0d9,3.0,Flash,wall-slab,118.8,
2018-10-09,Lime Green,V0,0c176e71c45fa4c91b75add5121f181b,3.0,Flash,wall-slab,192.9,
2018-10-09,Blue,V1,ef689aaea940064be8cc2262c834ead5,3.0,Flash,wall-slab,192.9,
2018-10-09,Red,V3,1fa12bab772b5a328f8d771d751c8cc3,5.0,Red Point,wall-slab,118.8,
2018-10-09,Lime Green,V0,dfd7df0c064cb1e9afc887b79e7a7b30,3.0,Red Point,wall-slab,48.7,
