date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-09-28,Red,V6,519099bf43a22bc2267e5de6b89282ee,3.0,Red Point,wall-boulders,288.8,
2019-09-23,Blue High Start,V7,f6fdc27f5251e4f5d77c65b83ed1ee13,3.0,Red Point,wall-boulders,505.7,
2019-09-22,Yellow,V6,28902c3f48abd3bf87de32c2a989190f,3.0,Red Point,wall-boulders,736.4,
2019-09-22,White High Start,V6,5e689a1621f87ba57c4cb52576f57022,3.0,Flash,wall-boulders,667.3,
2019-09-12,Lime Green,V6,0cc7238418e81d49b26dad6b2e6ba701,3.0,Red Point,wall-mezzanine,114.6,
2019-09-09,Black,V5,3590a39b349058fa67edc593965dde68,3.0,Flash,wall-boulders,222.0,
2019-09-09,Pink,V6,1df756f8a40b61edfda26d1285aaef32,3.0,Red Point,wall-boulders,87.1,
2019-09-09,Pink,V6,672e9173047a864a70d1a48c3f46a503,3.0,Red Point,wall-boulders,161.2,
2019-09-09,Blue,V7,7506d25fe3905fe1da1e0fbe97a0b833,3.0,Red Point,wall-boulders,87.1,
2019-09-04,Tan,V8,12e8de978b0e5b87405962f6960c422f,3.0,Red Point,wall-slab,118.8,
