date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-04-26,Red,5.12a,30e3437781385ef54584b9706e440c1e,4.0,Red Point,wall-back-wall,70.1,
2019-04-26,Blue,5.11a,c63e7bdb295fb2dd57b053cbcf7ff606,2.0,Onsight,wall-back-wall,56.8,
2019-04-26,Purple,5.8,c8069198bd7aeaebbb525c8e49b74e5e,3.0,Onsight,wall-back-wall,-2.4,
2019-04-25,Yellow,5.11d,ff6a6d8f24cdc435b701d31798728b26,4.0,Onsight,wall-back-wall,16.3,
2019-04-25,Black,5.12b,a2fe8eca46f0a34015ab0740d3a47152,4.0,Attempt,wall-back-wall,36.9,can't hit the first move. the rest is fun! 
2019-04-25,Pink,5.10c,bac78825d129005f86c1f94f96c6f227,5.0,Onsight,wall-back-wall,37.7,
2019-04-25,Yellow,5.9,34d0d7a009b6394e650a25dc930d56e6,5.0,Onsight,wall-back-wall,69.3,
2019-04-25,Purple,5.9,e4393227be16256b85ab2bc1f8085960,3.0,Onsight,wall-back-wall,124.1,
2019-04-24,Pink,5.11d,48de7509a92267aebf8f2d50b3856258,3.0,Onsight,wall-red,198.3,
2019-04-24,Tan,5.10a,acb519b9faffa48ce4b0bf1ba1c11e33,2.0,Onsight,wall-red,174.5,
2019-04-24,Red,5.10a,4cacf3af508522ae4966c70c4cd4c657,2.0,Onsight,wall-red,133.2,
2019-04-23,Yellow,5.10a,7f6bc563a6af175ffdc785f894101aab,4.0,Onsight,wall-red,261.8,
2019-04-23,Black,5.10d,2dcc606900b9fa6d90b228cdeb2318a7,4.0,Onsight,wall-back-wall,1386.5,
2019-04-22,Lime Green,5.10d,416fd6b22d112904c46491adb749eec7,4.0,Onsight,wall-red,230.7,
2019-04-22,Red,5.12b,efe291eee5459661877ba0557b8f23ff,5.0,Onsight,wall-red,262.5,
2019-04-20,Tan,5.10c,1a441f527d295167b71dcd51d159f853,3.0,Onsight,wall-island,315.4,
2019-04-20,Blue,5.11c,3ef7d8e84782c9daf419bb44734556c5,3.0,Onsight,wall-island,280.7,
2019-04-19,Tan,5.11a,1f6036332c8df09171499bc8900a1dc3,4.0,Onsight,wall-back-wall,1376.9,
2019-04-19,Pink,5.10b,ffcee98c800e14db60ee7b1709156880,2.0,Onsight,wall-back-wall,1409.3,
2019-04-17,White,5.11a,94113337af6a77de9f11d8db36e8673f,3.0,Onsight,wall-red,110.4,
2019-04-17,Tan,5.12b,dc738a2fe590a03dcd5eb3b9ff6d20a0,4.0,Red Point,wall-back-wall,1044.1,
2019-04-12,Red,V5,84ae89173bae65b2852ea0b286c2792a,4.0,Red Point,wall-boulders,288.8,
2019-04-12,Lime Green,V6,068614c7f7e981437fa141d1fa1588e8,4.0,Red Point,wall-boulders,288.8,
2019-04-12,Black,V6,095879231e11d3cf17d7384f45128789,4.0,Red Point,wall-boulders,288.8,
2019-04-12,White,V2,71f8d1da6fef08f3564907438c624950,3.0,Flash,wall-boulders,359.0,
2019-04-12,Yellow,V4,ac8a7fc60e58d093d72d77d916af7a0d,3.0,Flash,wall-boulders,359.0,
2019-04-06,Yellow,5.12c,6ee0b3cd518c450809a464d16437dfef,1.0,Attempt,wall-back-wall,1200.6,
2019-04-06,Red,5.9,06d5805014f42e0e77123501f1900e04,3.0,Onsight,wall-back-wall,1227.9,
2019-04-06,Pink,5.9,6ef2c7e0befd7d34ec1bfb66b7716be7,4.0,Onsight,wall-back-wall,1293.7,
2019-04-06,Black,5.10a,5fb519d8b78bbb79d5550f1337bf7b1e,3.0,Onsight,wall-back-wall,1274.8,
2019-04-06,Blue,5.10d,58a6c65d608245aa8ade938bdbf7bd35,4.0,Onsight,wall-back-wall,1251.0,
2019-04-06,Lime Green,5.11d,73b4377456ed4465c1828be2667c437e,5.0,Onsight,wall-back-wall,1292.9,so fun!
2019-04-06,Blue,5.10c,575abab5bd5cecb8eb803fd1b1fc7902,3.0,Onsight,wall-back-wall,1167.3,
2019-04-03,Red,5.12a,9b79787b2383edf98d85ba58cd10677e,3.0,Attempt,wall-back-wall,895.6,
2019-04-03,Pink,5.11c,d6866bc0805ac184f0e9c53883f154d5,1.0,Top Rope,wall-island,183.8,
2019-04-01,White,5.10b,280dbc898203f4ac0319d107dc16845e,2.0,Onsight,wall-red,24.0,arete off? 
2019-04-01,Purple,5.12a,d10432773a3a63d8f59ced7a9bc741ed,2.0,Attempt,wall-red,109.7,
2019-04-01,Pink,5.11a,dc831d64802943da2d7db673a3fae2d5,3.0,Onsight,wall-island,107.8,
