date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-03-31,Red,V7,c705dd8cfffd168c1af9b139339e4cc4,3.0,Red Point,wall-slab,48.7,
2019-03-27,Pink,V7,185c5eccd21e856dd8c72c36cbb90848,3.0,Red Point,wall-boulders,736.4,
2019-03-26,Blue,5.12b,0a39c8b4185c182c16f54497ca6d39ea,3.0,Red Point,wall-back-wall,191.4,
2019-03-26,White,5.12a,3a0a1799bc5a9fca0a6e5424e3ecf798,3.0,Onsight,wall-island,444.9,
2019-03-26,Red,V6,dc61f6cb7758fe209cc87b51d91a8c7c,3.0,Red Point,wall-boulders,667.3,
2019-03-26,Lime Green,V6,b076ddae2f1bb88d3daaeda6fe31048e,3.0,Red Point,wall-boulders,581.0,
2019-03-26,Tan,V6,39d7cc3863f134ac2019fd23f328a602,3.0,Red Point,wall-boulders,423.0,
2019-03-26,Blue,V7,f5431b39c6947eb784dec06d0837e815,3.0,Red Point,wall-boulders,423.0,
2019-03-26,Purple,V7,e21492dc7dcacc67b94a50b2836b12c3,3.0,Red Point,wall-boulders,359.0,
2019-03-26,Red,V6,8a0164f8fcb2d1c47f065d1d8f8c03b6,3.0,Flash,wall-slab,192.9,
2019-03-21,Black,5.12a,03a0dfbe10d3bd3605d63cb32ce32240,3.0,Red Point,wall-back-wall,16.3,
2019-03-21,Blue,5.12a,21a216763d5ac0b758c8b1775a2a1c26,3.0,Onsight,wall-back-wall,443.3,
2019-03-21,White,5.12a,8c70e435c42afb86895fb7f8c30560f7,3.0,Onsight,wall-back-wall,125.0,
2019-03-14,Lime Green,5.12c,e185401dfa1edcf8812557c3b22d25ac,3.0,Red Point,wall-back-wall,141.7,
2019-03-14,Pink,5.12a,b12380fd4dd4c39abf8d0b3d2e36797b,3.0,Red Point,wall-back-wall,165.3,
2019-03-14,Red,5.12a,ec34706aabf271656c3656d4417ab955,3.0,Red Point,wall-back-wall,243.6,
