date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-10-19,Lime Green,5.10a,3c3087af6fda98a06516153739949880,3.0,Red Point,wall-back-wall,791.7,
2018-10-18,Yellow,5.10c,2bfcdb08135305468cb32a0455c83433,3.0,Flash,wall-auto-belay,453.6,
2018-10-18,Red,5.10b,59b41addff4cc76aeb134850c1ceccaf,3.0,Red Point,wall-auto-belay,198.2,
2018-10-18,Yellow,5.10b,f15216bacde2740ee5f58cde02d2bcec,3.0,Flash,wall-auto-belay,250.5,
2018-10-14,White,V2,b91577baaeb36b0cb2f269381c37deb4,3.0,Red Point,wall-boulders,581.0,
2018-10-14,Blue High,V3,8d50db6022d053624d46b65a4b3141cd,3.0,Flash,wall-boulders,423.0,
2018-10-14,Lime Green,V3,2c311d26c8541b26cf12ed64b5e9ce2d,3.0,Red Point,wall-boulders,505.7,
2018-10-14,White,V2,ea2baeb508ba106120052e25c9b345a8,3.0,Red Point,wall-boulders,667.3,
2018-10-14,White,V2,ea2baeb508ba106120052e25c9b345a8,3.0,Red Point,wall-boulders,667.3,
2018-10-14,Red Left,V3,5137a84dff7b46fa36df4b15e4350f0c,3.0,Red Point,wall-boulders,793.8,
