date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-01-28,Red,5.12a,3c91e30d03b0a0a7bdc98ec118dbe870,3.0,Top Rope,wall-red,51.5,
2019-01-28,Lime Green,5.11b,9a3926d011af92144af55a6cbc3180f7,3.0,Onsight,wall-back-wall,1097.8,
2019-01-28,Blue,5.11c,61e8fff91265cfaf1666e5e6ff0610ed,3.0,Onsight,wall-island,602.2,
2019-01-28,Purple,5.12a,284f57037f67561a633f8bfae6940e17,3.0,Onsight,wall-island,43.2,
2019-01-25,White,5.11c,53271161531aad4f0b7f15d85c6b0068,3.0,Onsight,wall-back-wall,968.7,
2019-01-25,Purple,5.11c,9ced4e4d2f6d6dbf4fa199d27fa90575,5.0,Onsight,wall-back-wall,994.6,
2019-01-25,Red,5.11b,dd4e1942251cb3932b126d2e626e3ff9,5.0,Onsight,wall-back-wall,1175.7,
2019-01-25,Red,5.12a,3c91e30d03b0a0a7bdc98ec118dbe870,3.0,Flash,wall-red,51.5,
2019-01-25,Pink,5.11b,f524e04704e83bb1efe946d418f9678f,3.0,Onsight,wall-red,110.4,
2019-01-25,White,5.11c,f7e3abb0385697a067722017f445bab5,3.0,Onsight,wall-red,155.6,
