date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-05-29,Tan,V0,a6a30d4f11d44d5721d2eb1e025c0045,3.0,Flash,wall-boulders,793.8,
2019-05-29,White,V2,e2a0ebbd66cbab7f766482bb4d0859e8,3.0,Attempt,wall-boulders,736.4,
2019-05-29,Black,V4,214f825ab9454319d2c20458e1a82d83,3.0,Attempt,wall-boulders,288.8,
2019-05-29,White,V3,9ead48a22801aa9bebbcba26367795a6,3.0,Red Point,wall-slab,118.8,
2019-05-29,Tan,V3,75bcd5fd4942d36233a9669d87d71929,3.0,Red Point,wall-boulders,359.0,
2019-05-29,Purple,V2,af3b58b7bcf33b23dca36108920e638f,3.0,Flash,wall-boulders,288.8,
2019-05-29,Yellow,V1,3566012b72c4dff41f882a741950e0f8,3.0,Flash,wall-boulders,288.8,
2019-05-29,Lime Green,V0,87f203ece9dc913ae554b8280347503f,3.0,Red Point,wall-slab,118.8,
2019-05-24,Yellow,V2,f9ff15a9a48a4362a9d72a763a3c2cbe,3.0,Red Point,wall-slab,192.9,
2019-05-24,Blue,V1,e09367d92ec3c8b8725c9f745aabb725,3.0,Red Point,wall-slab,118.8,
2019-05-07,Lime Green,V0,87f203ece9dc913ae554b8280347503f,3.0,Red Point,wall-slab,118.8,
2019-05-07,Yellow,V2,f9ff15a9a48a4362a9d72a763a3c2cbe,3.0,Red Point,wall-slab,192.9,
2019-05-07,White,V3,9ead48a22801aa9bebbcba26367795a6,3.0,Attempt,wall-slab,118.8,
2019-05-07,Blue,V4,c9ff2dbf88e9f95057230297ccd82d26,3.0,Attempt,wall-slab,118.8,
2019-05-07,Pink,V3,e8431a2d008b8b6c4453051f806278b6,3.0,Red Point,wall-slab,192.9,
2019-05-07,Purple,V0,ff76c02ee0494311592c55782541a881,3.0,Red Point,wall-boulders,793.8,
2019-05-07,Blue,V1,7b2cbbcf4f630ac9085adfd1729675fd,3.0,Red Point,wall-boulders,667.3,
2019-05-07,Lime Green,V0,87f203ece9dc913ae554b8280347503f,3.0,Red Point,wall-slab,118.8,
2019-05-07,Blue,V0,f71afbff42fa038e87802af186a7a320,3.0,Flash,wall-boulders,288.8,
2019-05-03,Blue,V1,e09367d92ec3c8b8725c9f745aabb725,3.0,Flash,wall-slab,118.8,
