date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-11-29,Purple,V4,87d59baf8fe36415309751fa10f07e72,3.0,Red Point,wall-boulders,793.8,
2018-11-29,White,V4,f4497a15ea693a36f3ec19f633566fb8,5.0,Red Point,wall-boulders,793.8,way too many tries - super cool moves
2018-11-11,Pink,V7,8059250e8d3bd22bd65861b7cfef20ea,5.0,Red Point,wall-boulders,793.8,
2018-11-11,Lime Green,V5,dfd74058424eaf1a9210a83cd425355c,3.0,Red Point,wall-boulders,736.4,
2018-11-08,Lime Green,V5,56518e49f21d877d83646b3f5528958b,5.0,Red Point,wall-boulders,505.7,
2018-11-08,White,V7,14fb1c9b84be9f48a28108c3fb4e9170,4.0,Red Point,wall-boulders,423.0,
2018-11-07,Purple,V5,6bc3de0b14b6b949a4b6dc932ba864b3,3.0,Flash,wall-slab,192.9,
2018-11-07,Pink,V6,9db08ad58ea513ce9e42c4fa83dddddc,4.0,Red Point,wall-boulders,288.8,
2018-11-07,Yellow,V6,c7f7a5b5d23d2423e288d9aec3393d5b,4.0,Red Point,wall-boulders,667.3,fun toe catch
2018-11-02,Black,V6,aa8d0f9b28fb2115af349d477f841e47,4.0,Red Point,wall-boulders,793.8,
2018-11-02,Red,V5,e676217938e1107509e41eac5d0bf423,4.0,Red Point,wall-boulders,667.3,
2018-11-01,Tan,V3,861f81704443686908e0e70e996bb6bf,4.0,Flash,wall-boulders,288.8,
2018-11-01,Lime Green,V5,f40269b7fd1e73bc2c945ad75a6bd367,3.0,Flash,wall-boulders,359.0,
2018-11-01,Lime Green Low,V6,9ffbee5879aa1dff64097ec8ff927e6c,4.0,Red Point,wall-boulders,423.0,
