date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-02-27,White,5.8,c360c7fed24729d68ec8985ce6f8685f,3.0,Red Point,wall-red,79.7,
2019-02-27,Lime Green,5.9,8c03a96f1c2b6d4779936bed50457173,3.0,Red Point,wall-auto-belay,453.6,
2019-02-27,Purple,5.8,3516540ef5b368f8094eb6a87d3eee0c,3.0,Red Point,wall-red,133.2,
2019-02-27,Yellow,5.7,2cbfc5edc4f9450872454e6b7eeb9f84,3.0,Red Point,wall-back-wall,1175.0,
2019-02-27,Yellow,5.7,7a443fb849b88b4a2d2c634062257338,3.0,Red Point,wall-back-wall,922.4,
2019-02-27,Red,5.7,acf9ae504cd53872f5f2df6794bed19d,3.0,Red Point,wall-island,60.4,
2019-02-27,Lime Green,5.8,48956a2530ff1b2628da1119c3909470,3.0,Red Point,wall-island,163.0,
2019-02-27,Blue,5.8,cecb24a19e79c93fe3de29444a4d3f63,3.0,Red Point,wall-island,246.0,
2019-02-27,Tan,5.7,2e90e305e4106ba67e2079ce90541570,3.0,Red Point,wall-island,127.1,
2019-02-24,Lime Green,5.6,5a3d5b574c50e47d753c64309bb7579e,3.0,Red Point,wall-red,156.3,
2019-02-24,Tan,5.7,6253cf1041376755f31c905fc6e9c8c6,3.0,Red Point,wall-back-wall,1045.1,
2019-02-24,Pink,5.8,9abd042079ae086070583176cccf5898,3.0,Red Point,wall-back-wall,1140.9,
2019-02-24,White,5.9,9cc824de98cd56884d48c0db5b7adbbf,3.0,Red Point,wall-island,75.0,
2019-02-24,Black,5.9,7784f163a622e6737e043ac5d7457f8f,3.0,Red Point,wall-red,262.5,
2019-02-24,Lime Green,5.9,8c03a96f1c2b6d4779936bed50457173,3.0,Red Point,wall-auto-belay,453.6,
2019-02-24,Grey,5.8,61a9b8dcb4dfad88dd1b3356322e63dd,3.0,Red Point,wall-fox,198.8,
2019-02-24,Green,5.9,a78d6eef7d703791dd237eb65dd793ea,3.0,Red Point,wall-fox,198.0,
2019-02-24,Blue,5.9,1fdeafd2e12ba315e859f5cc6e4fbd6a,3.0,Red Point,wall-red,173.9,
2019-02-24,Pink,5.8,a710f31d63105e7027b27c7d0070c690,3.0,Red Point,wall-red,174.5,
2019-02-24,Red,5.7,acf9ae504cd53872f5f2df6794bed19d,3.0,Red Point,wall-island,60.4,
2019-02-18,Yellow,5.7,f34c937606056768201242b288987f36,3.0,Red Point,wall-red,24.0,
2019-02-18,Lime Green,5.8,48956a2530ff1b2628da1119c3909470,3.0,Red Point,wall-island,163.0,
2019-02-18,Orange,5.7,278cdca7c93959edc74c93ca258b4134,3.0,Red Point,wall-fox,48.5,
2019-02-17,Orange,5.7,fba11d41d8728fdb1d35242a1c9094f8,3.0,Red Point,wall-fox,155.9,
2019-02-17,Grey,5.8,61a9b8dcb4dfad88dd1b3356322e63dd,3.0,Red Point,wall-fox,198.8,
2019-02-17,Green,5.9,a78d6eef7d703791dd237eb65dd793ea,3.0,Red Point,wall-fox,198.0,
