date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-02-25,Tan,V1,aaf1483333b229eda081cdd3f40ff7f1,5.0,Flash,wall-mezzanine,39.7,
2019-02-25,Blue,V1,efb22ae4cd1bef7443bb49c135adb840,5.0,Flash,wall-mezzanine,39.7,
2019-02-25,Red,V2,8a5c18af1d5ac39654c00e1b10cd3f1b,5.0,Flash,wall-mezzanine,39.7,
2019-02-25,Black,V5,423bce8c39b95fb0f33e958aecb0a090,5.0,Flash,wall-mezzanine,39.7,
2019-02-25,Purple,V6,567273777b00484cdebdb95a8a0666c6,5.0,Red Point,wall-mezzanine,39.7,
2019-02-25,Lime Green,V3,9c2210860f6a7693ed212627846f6c5b,5.0,Flash,wall-mezzanine,39.7,
2019-02-25,White,V5,8fa58dc8cea41caf1949356ba3ec885e,5.0,Flash,wall-mezzanine,39.7,
2019-02-25,Yellow,V2,0a8a95c29af09a9e76cef087c4d9ec8d,5.0,Flash,wall-mezzanine,39.7,
2019-02-25,Pink,V4,c91a7a5393a51c6091e16fa699aa89ff,5.0,Flash,wall-mezzanine,39.7,
2019-02-25,Blue,V0,dab297a9dc9c45dba60dc8bd773c70e7,5.0,Flash,wall-mezzanine,114.6,
2019-02-25,Tan,V5,69566e828750e5bea5539653d7523fa3,5.0,Flash,wall-mezzanine,114.6,
2019-02-25,Red,V3,176245e355e89768178dc17c42ae0dd1,5.0,Flash,wall-mezzanine,114.6,
2019-02-25,Yellow,V3,8f106539f91ba41883c66433be3f5b12,5.0,Flash,wall-mezzanine,114.6,
2019-02-25,Black,V6,df8c7fb4a77dda80d3abfb8ab2f32642,5.0,Flash,wall-mezzanine,114.6,
2019-02-25,Lime Green,V3,47b45273f03fab666c6db859a233b5a7,5.0,Flash,wall-mezzanine,114.6,
2019-02-25,White,V2,a8c1f1d1bbbd74e1752263591f4f7694,5.0,Flash,wall-mezzanine,114.6,
2019-02-25,Blue,V0,d83fd724dfc070cef430a4992d4a3853,5.0,Flash,wall-mezzanine,114.6,
2019-02-25,Pink,V4,d68f70afbc34c8a56bd9d6649203df5f,5.0,Flash,wall-mezzanine,114.6,
2019-02-18,Pink,V8,238231a1826c510cf0f526a26137ac19,5.0,Red Point,wall-boulders,288.8,
2019-02-08,Purple,V5,a97d2bad27bf9688f6240d724f77e343,3.0,Flash,wall-boulders,667.3,
2019-02-08,White,V7,f85e70e2bec05e247cc4692d32477c09,5.0,Flash,wall-boulders,667.3,
2019-02-08,Pink,V4,2c90225324578927e7749d4bd2ee5f44,5.0,Flash,wall-boulders,667.3,
2019-02-08,Lime Green,V0,4307398f52fe8a65c686a2aaf47492d0,5.0,Flash,wall-boulders,667.3,
2019-02-08,Yellow,V8,7e367254b4661dcdd2d2f5e7c1d147ca,5.0,Red Point,wall-boulders,736.4,
2019-02-08,Red,V2,7b1a237a6966ddf01ddc6b608ac28544,5.0,Flash,wall-boulders,793.8,
2019-02-08,Yellow,V5,d3e68dbbeeff291163e69a7efd14f32d,5.0,Flash,wall-boulders,793.8,
2019-02-08,Black,V1,53f6a9bbf290a18f0ad1ce3c12762c22,5.0,Flash,wall-boulders,793.8,
2019-02-08,White,V6,c7c5f48494e95efda3953db38e5c6d8d,5.0,Red Point,wall-boulders,793.8,
2019-02-08,Blue,V1,50083e9d51b64842ed16e0df244be875,5.0,Flash,wall-boulders,793.8,
2019-02-08,Yellow,V4,ce120a5b50c6851e7a7970b2b8e6f25b,5.0,Flash,wall-boulders,793.8,
2019-02-08,Black,V6,05f86400d1ce6072c16a3d317acf0a62,5.0,Flash,wall-boulders,793.8,
2019-02-08,Purple,V2,6365a6ddab39ad83e744422ac50d736c,5.0,Flash,wall-boulders,793.8,
2019-02-08,Lime Green,V3,0f22038a7abae5f46e4bdee832a14100,5.0,Flash,wall-boulders,736.4,
2019-02-08,Blue,V8,0ebd9aceadbd8b2889f3cb19ec6d8130,5.0,Flash,wall-boulders,736.4,
2019-02-08,Black,V6,831ff4b2eb73ae39a9c602ea4eb16564,5.0,Flash,wall-boulders,736.4,
2019-02-08,Tan,V9,85a4bba364091b03f680dc6b41df2bae,5.0,Red Point,wall-boulders,736.4,
