date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-03-22,Yellow,5.7,966c5d90026c88617bd8924dd4978fca,3.0,Top Rope,wall-auto-belay,304.0,
2019-03-22,Red,5.10a,77310b734169479ba2bfaf616b222e5e,3.0,Top Rope,wall-auto-belay,273.7,
2019-03-22,Blue,5.5,99d687a3caf41aab9c73809769394aec,3.0,Top Rope,wall-auto-belay,343.2,
2019-03-16,Red,5.10c,abdb1b3f923fc75fafd4c615792975ed,3.0,Top Rope,wall-red,231.5,
2019-03-16,Yellow,5.10b,2ab8a816edc08aab5ef7ad21e092f405,3.0,Top Rope,wall-red,132.5,
2019-03-16,Yellow,5.10b,2ab8a816edc08aab5ef7ad21e092f405,3.0,Red Point,wall-red,132.5,
2019-03-16,Lime Green,5.8,48956a2530ff1b2628da1119c3909470,3.0,Top Rope,wall-island,163.0,
2019-03-16,Lime Green,5.10c,6ed5f0d6a0e170fed18d0b142a41b710,3.0,Top Rope,wall-island,43.2,
2019-03-16,Red,5.10d,ac3436e114d851ef34bb5646a3a4d30f,3.0,Top Rope,wall-island,75.0,
2019-03-16,Purple,5.10a,084548166765eb3f945cef7f7e7a19de,3.0,Top Rope,wall-island,183.8,
2019-03-15,Black,5.10b,9afc1b1af77ceff0009d5b46b3a4556e,3.0,Top Rope,wall-island,420.7,
2019-03-15,Pink,5.10b,646e4b8867448121cf1ca23e8fd2e902,3.0,Top Rope,wall-auto-belay,88.3,
2019-03-15,Lime Green,5.10a,6f1554ba87cabdf73be355a2d0acc368,3.0,Top Rope,wall-auto-belay,45.3,
2019-03-08,Purple,5.9,15ed339ab22fe06b3e498620301cf168,3.0,Top Rope,wall-back-wall,1353.6,
2019-03-08,Black,5.7,8e83eff3b207cb27fd2d565e1c7bbffc,3.0,Top Rope,wall-back-wall,1377.6,
2019-03-07,Yellow,V3,35e482e2b4594e52381028755ff61247,3.0,Red Point,wall-boulders,288.8,
2019-03-07,Yellow,5.9,51abd9d1d62562b97a0447b48c0b5430,3.0,Top Rope,wall-island,560.7,
2019-03-07,Blue,5.8,cecb24a19e79c93fe3de29444a4d3f63,3.0,Onsight,wall-island,246.0,
2019-03-07,Tan,5.7,6253cf1041376755f31c905fc6e9c8c6,3.0,Flash,wall-back-wall,1045.1,
2019-03-07,Blue,5.6,37033988f07bc307b39f59ad305be78c,3.0,Flash,wall-back-wall,1098.7,
2019-03-06,Blue,V4,7ae07cc594bfbeee107a251c7b992c19,3.0,Red Point,wall-boulders,423.0,
