date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-09-15,Tan,5.8,d0a6bb5fdecca385c07a20ac8382ae58,,Flash,wall-island,126.0,
2020-09-15,Pink,5.10c,41d581885877455e84c7a1e686d81c56,,Flash,wall-back-wall,1020.5,
2020-09-15,White,5.10a,ba03617a77e032e454377c3d58838db1,,Flash,wall-back-wall,1069.1,
2020-09-15,Red,5.8,cee6bb83a181e236a69d27934158c7d0,,Flash,wall-back-wall,1176.5,
2020-09-07,Black,V0,db890220a64011101dd2ca3f418fef67,,Flash,wall-boulders,581.0,
2020-09-07,Red,V0,0a191f7681cdc31371ea1bf5d77373d8,,Flash,wall-mezzanine,39.7,
2020-09-07,White,V2,ffcfa86513806e6426187e8a9f187175,,Flash,wall-mezzanine,114.6,
2020-09-07,White,V2,ffcfa86513806e6426187e8a9f187175,,Red Point,wall-mezzanine,114.6,
2020-09-07,Yellow,5.8,b807f239ab8caa338ae486d58ba6e1e4,,Red Point,wall-back-wall,-1.5,
2020-09-07,Pink,5.9,88fe68f90d26bebd89a52906c75593a1,,Onsight,wall-island,366.1,
2020-09-07,Blue,5.8,c93ef59c4fa25663bb4ae11777393e1a,,Onsight,wall-island,446.7,
2020-09-07,Lime Green,V0,3ae4a047bb6a344fb1ba7b82aed8c625,,Red Point,wall-slab,192.9,
2020-09-07,Yellow,V2,edbd9901b9a1b6e1ace17defaec1363f,,Flash,wall-slab,48.7,
2020-09-07,Lime Green,V0,3ae4a047bb6a344fb1ba7b82aed8c625,,Red Point,wall-slab,192.9,
2020-09-07,White,V1,3f6a2325a0d2123f8aab1b8b5853976d,,Flash,wall-boulders,87.1,
2020-09-07,Pink,V0,d11410968f505b70a5af30b1ffabeeac,,Flash,wall-boulders,87.1,
2020-09-07,Red,V0,0547a8a146d2b4c21038dde5a25dcb2f,,Flash,wall-boulders,359.0,
2020-09-07,Blue,V2,f4c51b96e2ebbe953427261ff5f8341c,,Flash,wall-boulders,359.0,
2020-09-07,Black,V1,ae48828d5e142af57ae13dd3850c1df0,,Flash,wall-boulders,359.0,
