date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-09-29,Black,V0,db890220a64011101dd2ca3f418fef67,4.0,Flash,wall-boulders,581.0,
2020-09-29,Blue,V1,4d5e944b9e82a5a17d9ca5f0aaba319b,5.0,Flash,wall-boulders,581.0,
2020-09-29,Lime Green,V2,35896473ce072618ad1fae7d4ca4708d,4.0,Flash,wall-boulders,581.0,
2020-09-29,Yellow,V4,5927410985663ed6d27238118bde71f1,5.0,Flash,wall-boulders,581.0,
2020-09-29,Black,V4,7677638dfebd8634b31b252daaa19597,4.0,Flash,wall-boulders,505.7,
2020-09-29,Blue High,V4,b5af45e5fc7546250b018db2059a0d06,4.0,Flash,wall-boulders,505.7,
2020-09-29,Blue Low,V7,8eed1147dec2bfed02ff7075d80a3a8b,4.0,Red Point,wall-boulders,505.7,soft?
2020-09-29,Yellow High,V5,2c6d5d8ba707ceea11db9fdf2ffa40ca,5.0,Flash,wall-boulders,505.7,
2020-09-29,Yellow Low,V6,8a47cf2f615c6610e1ea6f487c635f04,5.0,Red Point,wall-boulders,505.7,
2020-09-29,White High,V3,c6a9f766e9a23faa9594434d7f6557e8,4.0,Flash,wall-boulders,505.7,
2020-09-29,White,V5,ff53efbdc0901ef443f6b7fa30ee68b7,5.0,Red Point,wall-boulders,505.7,nice endurance piece. 
2020-09-29,White,V4,f9f88bcd239e4dae69a8e4cf279cf664,4.0,Flash,wall-boulders,423.0,
2020-09-29,Lime Green,V6,b025c48c90a1e1a722f67b74486739ad,4.0,Flash,wall-boulders,423.0,
2020-09-29,Yellow,V3,f9ca4820a95067f37841a7a137c503b2,3.0,Flash,wall-boulders,423.0,
2020-09-29,Black,V3,e0c525d2e0b35e49db44013fe267ba28,5.0,Flash,wall-boulders,793.8,
2020-09-29,Pink,V4,c6d0b406bfbda24aed54ecb39799224c,3.0,Flash,wall-boulders,793.8,
2020-09-29,Red,V5,619428da528a9001ba037d990608207b,5.0,Flash,wall-boulders,793.8,
