date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-10-18,Pink Low,V3,6d9a34c9d1af54a1ee0102413ea340c2,4.0,Flash,wall-boulders,505.7,
2018-10-16,Yellow,5.12b,fd72b200358048be6e00a71c5abc20d1,5.0,Red Point,wall-island,445.8,nice dynamic movement 
2018-10-16,White,5.11c,03ae1132ad1285f0d423a57f038714ff,4.0,Onsight,wall-back-wall,221.9,
2018-10-16,Blue,5.11c,92bbbdaeb8038b3773979c98b2e4bc8e,4.0,Red Point,wall-back-wall,243.4,pumpy at the top
2018-10-16,Lime Green,5.11b,6103a24755929769d05c42d1a96cf6a8,5.0,Onsight,wall-island,421.6,
2018-10-16,Purple,5.10b,fc329cc9647fee74276915071974bba9,4.0,Onsight,wall-island,590.5,tricky route reading
2018-10-16,Lime Green,5.12b,295f96be1ad8aa69482a7aa94b501b76,4.0,Red Point,wall-back-wall,442.1,
2018-10-16,Yellow,5.11b,c900eaf639d0f4c8a07e3f64503da397,4.0,Onsight,wall-back-wall,507.7,
2018-10-16,Blue,5.10d,80c56821a6273c01747c11ec0be5fadc,4.0,Onsight,wall-back-wall,562.0,
2018-10-16,White,5.12c,292e952848778744af40e8e2955f7315,5.0,Red Point,wall-back-wall,590.2,
2018-10-16,Purple,5.12a,4a1ac13a969e159010b874e03741855a,4.0,Red Point,wall-back-wall,608.4,
