date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-07-31,Purple,5.10d,b1c3c33283a197c5f37c084e37b72b1a,3.0,Onsight,wall-back-wall,532.7,
2019-07-31,Blue,5.11c,8f8cc5963c1a08c1c33362ae85c7ab80,3.0,Attempt,wall-back-wall,388.4,
2019-07-28,White,5.11b,90e88e6a6dd99194da8e293b9f9eecfb,3.0,Top Rope,wall-back-wall,967.8,
2019-07-28,Lime Green,5.11c,0283046f4c2c9a828d67139daf549aab,3.0,Top Rope,wall-island,528.5,
2019-07-28,Pink,5.11d,c4c61dac2f994f694391af970bb51085,3.0,Top Rope,wall-back-wall,243.4,
2019-07-28,Blue,5.9,90aa23562cd1f9327d6fede78e6a38e5,3.0,Onsight,wall-back-wall,221.9,
2019-07-26,Pink,5.11d,c4c61dac2f994f694391af970bb51085,3.0,Attempt,wall-back-wall,243.4,
2019-07-26,Lime Green,5.11c,8a10a1fba19ba667f9d321f28d689a46,3.0,Attempt,wall-back-wall,191.4,
2019-07-26,Black,5.10d,96722ec5a6af4b7ab12468b453c4ea09,3.0,Onsight,wall-back-wall,190.5,
2019-07-26,Blue,5.11d,e308a05ef4a45b3f43269d2c2ab96637,3.0,Red Point,wall-island,590.5,
2019-07-20,Red,5.9,b11aa27aae898c8e7da38b7dfc5f35a8,3.0,Onsight,wall-back-wall,165.3,
2019-07-20,Black,5.9,de980668747f805f63e85c6c71fc7023,3.0,Top Rope,wall-island,504.0,
2019-07-19,Purple,5.10c,35d6842afe37e98522fc771e02ae6559,3.0,Onsight,wall-back-wall,251.9,
2019-07-19,Red,5.11c,5f0905fbbf2eea617a08f4e3fa1d65ec,3.0,Top Rope,wall-island,470.0,
2019-07-14,Red,5.9,5dc58c27bb35f4a6eb21c3a77365db1b,3.0,Onsight,wall-back-wall,56.0,
2019-07-14,Pink,5.11a,e2ed53fe43f6ec0463d259516931fd4e,3.0,Top Rope,wall-back-wall,1310.0,
2019-07-14,Red,5.11c,9206d9ff5bc6de2bd69e2c5c3de7d0fd,3.0,Attempt,wall-island,340.5,
2019-07-14,Tan,5.10d,547df4322dc6717ab09007155db76c64,3.0,Attempt,wall-back-wall,141.7,
2019-07-14,White,V2,30008c548df083af64980795154ba480,3.0,Flash,wall-boulders,288.8,
2019-07-13,White,5.11a,b7358efe698f50d298b690f43a006ff1,3.0,Red Point,wall-red,174.5,
2019-07-13,Blue,5.10b,debae87af4532ec839a5ce0499e79ad2,3.0,Onsight,wall-island,126.0,
2019-07-13,Blue,5.11d,e308a05ef4a45b3f43269d2c2ab96637,3.0,Attempt,wall-island,590.5,
2019-07-10,Tan,V2,661b31e0eb064cc9b914c403f6a78248,3.0,Flash,wall-boulders,359.0,
2019-07-10,Black,V2,44e6926b91538672ada48b8f3ed90aa7,3.0,Flash,wall-boulders,505.7,
2019-07-10,Lime Green,5.9,2055a908cc9ff43d3efd8440726b966c,3.0,Onsight,wall-back-wall,16.3,
2019-07-10,Yellow,5.10c,74b2961a251ccacd600fcedfae19a33d,3.0,Onsight,wall-back-wall,69.3,
2019-07-10,Pink,5.10a,c6e6e4c51e6838bf7899cdc8e34062bc,3.0,Top Rope,wall-back-wall,108.7,
2019-07-03,Lime Green,5.10a,8a3d66ae7928aa359b8ed393cc65fef3,3.0,Onsight,wall-red,230.0,
2019-07-02,Pink,5.10c,019e46e14081118fb84e57e406e1c58e,3.0,Onsight,wall-back-wall,994.6,
