date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-08-23,Blue,V5,2f42405f19519d2694320dda0724b767,5.0,Red Point,wall-boulders,87.1,
2019-08-23,Pink,V5,bd900a36736dacdab8b8fd16268e7f16,5.0,Red Point,wall-boulders,161.2,
2019-08-23,Yellow,V5,dd4295c254e1fe73c10f31cc8fe0c673,5.0,Red Point,wall-boulders,222.0,
2019-08-23,Yellow,V5,b6fabbf135eee0da158702dfa341cc42,5.0,Red Point,wall-boulders,288.8,
2019-08-23,Tan,V5,6ce6bc1b5641dab48a0695e483397714,3.0,Flash,wall-boulders,288.8,
2019-08-23,Blue,V5,e683077003fa80aea4363cb9f8f991b0,5.0,Red Point,wall-boulders,288.8,
2019-08-23,Lime Green,V6,37aba23ecdcf32f48d7e10f82b53b466,5.0,Red Point,wall-boulders,288.8,
2019-08-23,Yellow,V6,30af3316bda6cf013c691ff7da392e99,2.0,Red Point,wall-boulders,359.0,
2019-08-23,Lime Green,V6,3822ebc9d4ab9ed882adafeb3d3f0314,5.0,Red Point,wall-boulders,423.0,
2019-08-23,Red High Start,V6,a6cb16a04805c97e1ba30e9a722179b3,5.0,Red Point,wall-boulders,505.7,
2019-08-23,Blue,V5,9c96539c463001a7263b8521d3a95ef8,3.0,Flash,wall-boulders,793.8,
2019-08-23,Lime Green,V5,79629293de7234cc9fba990ecd4f2a9f,5.0,Red Point,wall-boulders,667.3,
2019-08-23,Yellow Right,V5,0a18dbe769936d43c334adbf68bd94fa,5.0,Red Point,wall-boulders,667.3,
2019-08-23,Blue,V5,b735ee5fc23723f5f14eb866a7a134c1,3.0,Red Point,wall-slab,118.8,
2019-08-23,Pink,V5,23abe27a107a9dc131b34a126e870c7d,3.0,Red Point,wall-slab,48.7,
2019-08-23,White,V5,6ed50f9e821dadade576b1cf9a39a3d1,3.0,Flash,wall-mezzanine,39.7,
2019-08-23,Tan,V5,2bf67d03cf69303c3d53258196e8b0e7,2.0,Red Point,wall-mezzanine,39.7,
2019-08-23,Pink,V6,a445b0cfe9d6df688fd10c8f6e938843,5.0,Red Point,wall-mezzanine,39.7,
2019-08-23,Blue,V5,00da261339892866f1b5ed5d9756f2a8,3.0,Flash,wall-mezzanine,114.6,
2019-08-23,Black,V5,6188ad887724335b82ff6059305a1cf1,3.0,Flash,wall-mezzanine,114.6,
2019-08-23,White,V6,73c1fda96bdbf55ed61afd7210f12d99,4.0,Red Point,wall-mezzanine,114.6,
2019-08-22,Red,V5,1c0cac2ec8dad9cc6a609e702cac14e6,5.0,Red Point,wall-boulders,423.0,
2019-08-22,Red,V5,7413443254196f343c94732946c85802,5.0,Red Point,wall-boulders,581.0,
