date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-02-20,Lime Green,V1,5aed781f9fde1b16bc1fc2098c0fb9bd,,Flash,wall-boulders,793.8,
2020-02-20,White,V2,147d8ca3f32ca55777eb6d9ffb50cc52,,Red Point,wall-boulders,793.8,
2020-02-20,Blue,V3,9a75a24b3ebdf516d10c5370ef74fd4e,,Flash,wall-boulders,736.4,
2020-02-20,White,V2,48cd062799dfaaa3e565d5e1670added,,Flash,wall-boulders,667.3,
2020-02-17,Lime Green,V3,e1707bd7763bcd7b1b921e95103a833c,,Red Point,wall-boulders,87.1,
2020-02-17,Pink,V2,d21a5d8b879725a9bad86a67fff4ea29,,Flash,wall-boulders,423.0,
2020-02-13,Yellow,5.10c,3b0758532fe34ede5936bbb6c0c20963,,Onsight,wall-back-wall,164.5,
2020-02-13,Blue,5.10d,dc93142e641598dadef6a08d5051bd04,,Attempt,wall-back-wall,142.5,
2020-02-06,Blue,V1,7a46cc92bca2c5c26cea19be071a33d8,,Flash,wall-boulders,288.8,
2020-02-06,Tan,V2,7a2b4c834d4d16ece848cb04db0cf4ff,,Flash,wall-boulders,161.2,
2020-02-06,Pink,V2,e459884c250f7aabc719c6d072015a42,,Flash,wall-slab,192.9,
2020-02-06,Yellow,V2,40fed2582fc460eef98edf5be375a3e4,,Flash,wall-boulders,581.0,
2020-02-06,Blue,V3,bfdda60d27aaa46264550cb3d337fbce,,Red Point,wall-boulders,222.0,
