date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-11-08,Yellow,5.9,965dc523ca296145bc0b855115097ef2,3.0,Attempt,wall-back-wall,190.5,
2018-11-08,Lime Green,5.9,b64860d35abf5f3ec10c8c296aa07403,3.0,Onsight,wall-back-wall,1293.7,
2018-11-08,Yellow,5.9,6646f007e79e727d64ca07a5611f9cc2,3.0,Attempt,wall-red,25.4,
2018-11-06,Blue,5.9,a5479759db8908223e2cf2e8e8759103,3.0,Onsight,wall-island,420.7,
2018-11-06,Red,5.9,a5cfc7b9a72c4ebd0d598f27e90aa212,3.0,Attempt,wall-back-wall,322.3,
2018-11-06,Blue,5.10c,ca15cb1146312f0862d2b957107a1bbf,3.0,Attempt,wall-back-wall,1251.0,
2018-11-06,White,5.8,37e89bcd1d99169ef5098e29b59ceb3f,3.0,Onsight,wall-back-wall,1329.5,
2018-11-06,Pink,5.10b,f91b4d6287c54a229a2d2727bffa76d5,3.0,Onsight,wall-back-wall,1175.7,
2018-11-06,Blue,5.10d,80c56821a6273c01747c11ec0be5fadc,3.0,Red Point,wall-back-wall,562.0,
2018-11-04,Yellow,5.11b,f276cb5d2c7fb039b05dbdb46b108bca,3.0,Attempt,wall-island,126.0,
2018-11-04,Pink,5.11a,431fb09c101bfd0955cf55e179330fba,3.0,Top Rope,wall-island,92.7,
2018-11-04,Black,5.10a,977255cd7329a0e0a26bdaf059f8f155,3.0,Top Rope,wall-red,173.9,
2018-11-04,Black,5.10a,a2a3def59f7e19f86e543d76a5971f5c,3.0,Top Rope,wall-island,227.5,
2018-11-04,Red,5.9,557763ffe260057a5ae2d9ee96454479,4.0,Top Rope,wall-back-wall,1067.3,
2018-11-04,White,5.11b,f755e17010038a93f1eff2b49b682aaa,3.0,Attempt,wall-island,43.2,
