date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-11-12,Tan,V4,ec085769c08e60c8cf33925dd02c509d,5.0,Flash,wall-slab,48.7,
2020-11-12,Blue,V6,83d97a3c2ca70ac6aa7fa7c2e0d24ecb,5.0,Flash,wall-slab,48.7,
2020-11-12,White,V5,3336638a307af6e6c34c69eac5754d20,5.0,Red Point,wall-slab,48.7,
2020-11-12,Red,V4,ee98650b5c854f046238c1daeae339ff,4.0,Flash,wall-slab,48.7,
2020-11-12,Black,V3,7822162e14c08a3268152fd7e59e6046,5.0,Flash,wall-slab,48.7,
2020-11-12,Pink,V1,26f2b8aed2ca7911df1d67e87b36c624,,Flash,wall-slab,118.8,
2020-11-12,Lime Green,V5,427ea49a607faa04e98159d5015598d4,5.0,Red Point,wall-slab,118.8,
2020-11-12,White,V0,31d4bebb1aee89ac8f5cd0f14789770a,,Flash,wall-slab,118.8,
2020-11-12,Blue,V5,18f003eca0829bab0c0ddc4e35504fb4,5.0,Red Point,wall-slab,118.8,
2020-11-12,Tan,V3,7f0b19633020a94ca0cb8352abdad39d,5.0,Flash,wall-slab,118.8,
2020-11-12,Red,V2,237a9b21bb95169830c5fcae3fe3856d,,Flash,wall-slab,118.8,
2020-11-12,Black,V1,7a4fe53e3496173958fb8a0766b0ef59,4.0,Flash,wall-slab,192.9,
2020-11-12,White,V3,07e2d9716469ebd24084b1b731347043,5.0,Flash,wall-slab,192.9,
2020-11-12,Lime Green,V0,e4770400557527b31f0f7c78131577aa,,Flash,wall-slab,192.9,
2020-11-04,Lime Green,V5,4b507132a13d8c38dfd16991fbfb5a73,5.0,Red Point,wall-boulders,793.8,more please!
2020-11-04,Lime Green,V4,53b051eb5c92f4056114f268d1f0cd52,4.0,Flash,wall-slab,48.7,really fun creative problem with a tricky top out
2020-11-04,Yellow,V0,ce3f104d17bb70890daae8661f8e4a9b,,Flash,wall-slab,48.7,
2020-11-04,Black,V4,698ddccc89f25083110991b8efb206fe,3.0,Flash,wall-slab,48.7,
2020-11-04,White,V2,88e5f35d6046a5767ddc418d44c49f56,,Flash,wall-slab,48.7,
2020-11-04,Tan,V1,11b01412794535ad6f454b241ac99dd8,,Flash,wall-slab,48.7,
2020-11-04,Red,V5,686b4fa820bb05ff9aa25f43fc9dd4c0,3.0,Red Point,wall-slab,48.7,i hate/love this one. 
2020-11-04,Pink,V5,fd53a22f884a59c6c8fdca81fa1847d8,5.0,Red Point,wall-slab,118.8,"another amazing slab problem, flexibility..."
2020-11-04,Blue,V5,aa1f581d77bcdebf21174b4ecb546c04,5.0,Flash,wall-slab,118.8,love this one
2020-11-04,Lime Green,V0,8a7fbc75e13e578cb755e187d5a108a1,,Flash,wall-slab,118.8,
2020-11-04,Black,V7,80884cd7e9fa4eae75f23ebea8d8db39,5.0,Red Point,wall-slab,118.8,"one of my fav slabs. creative start, difficult top out. lots of trust needed. "
2020-11-04,Yellow,V3,13566d2288ec3f12d1eeb02038c61fd1,,Flash,wall-slab,118.8,
2020-11-04,Tan,V1,611d86d546e58b31cccdb5aa8ce4596b,,Flash,wall-slab,192.9,
2020-11-04,White,V6,e243a4301b230e00ce4e98138bb4ee00,5.0,Red Point,wall-slab,192.9,hate it/love it
2020-11-04,Pink,V3,20f719652212b6159a713832b4f20c6f,,Flash,wall-slab,192.9,
2020-11-04,Lime Green,V2,939ef4911ca4fe3913a16e11d44cac05,,Flash,wall-slab,192.9,
2020-11-04,Pink,V0,4a61cf09206e7132e61fc9a11691f3a7,,Flash,wall-mezzanine,39.7,
2020-11-04,Blue,V2,b621be98140b080a9bcc8cf27cd60523,,Flash,wall-mezzanine,39.7,
2020-11-04,Yellow,V1,0443938600301d126e6901823bf3fc17,,Flash,wall-mezzanine,39.7,
2020-11-04,Pink,V3,42cc61773226ca2ff02f998730639c8b,,Flash,wall-mezzanine,114.6,
2020-11-04,Black,V0,f24031b1fe39068c09caa1a7f8fbae1b,,Flash,wall-mezzanine,114.6,
2020-11-04,Yellow Left,V2,dfa064b3a13b2888d7638233010b79de,,Flash,wall-mezzanine,114.6,
2020-11-04,Yellow,V1,76161b9f4c76d06a82018e10d937df4c,,Flash,wall-mezzanine,114.6,
2020-11-04,Purple,V3,d8d3ca6d1abbd4f5c00e03cbf11f61e9,4.0,Red Point,wall-mezzanine,114.6,
2020-11-04,Lime Green,V3,d1f8d3f3d47a6091511280246c783109,,Flash,wall-mezzanine,114.6,
2020-11-04,Blue,V6,f5a9519face1812f69199bcbb7468606,5.0,Red Point,wall-mezzanine,114.6,lovely short blind dyno problem
2020-11-04,Red,V5,2a6d68b6da038aadc2e678bac69e10f4,,Red Point,wall-mezzanine,39.7,
2020-11-04,White,V4,54f629974a46775fd50c6566acf39c5a,4.0,Flash,wall-mezzanine,39.7,
