date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-12-30,Yellow,5.10b,2c01ec9e745ab6c7cda6c41d660fb8d9,5.0,Onsight,wall-back-wall,1409.3,
2019-12-30,Yellow,5.10b,5bbb18dc5fc72b9097c241d38ead86ff,5.0,Onsight,wall-red,109.7,
2019-12-30,Yellow Low,V5,a2a793f19390bb425e1026f97dd5e818,5.0,Red Point,wall-boulders,423.0,
2019-12-27,Yellow,V4,46915448cdb1c9ce5516a53f9dd43790,5.0,Flash,wall-boulders,793.8,
2019-12-27,Tan,V5,7ec3615f2edc759f5d0ecd2e29684034,5.0,Red Point,wall-boulders,793.8,
2019-12-27,White,V4,5e83f865fc7edcb671a0fc6f243fa1cb,5.0,Red Point,wall-boulders,736.4,
2019-12-27,Pink,V3,9e386b2ded9a16115e969789bd0aa65b,5.0,Flash,wall-boulders,793.8,
2019-12-24,Purple,V3,ac6a3032b6c322568c29794a77ee2a5e,5.0,Flash,wall-mezzanine,114.6,
2019-12-23,Black,5.11b,f190ea691f1b36c48ea0011b175580cc,5.0,Top Rope,wall-back-wall,743.3,
2019-12-23,Black,5.11b,3ed0ae04a66c4acca1c24ef79d6fe8bb,5.0,Top Rope,wall-island,315.4,
2019-12-23,Yellow,5.10a,530c23c47e18adaa0367e99939f78310,5.0,Onsight,wall-back-wall,894.6,
2019-12-23,White,5.10a,9e3cc0d8285c5ef2981cfd78be1871d5,5.0,Onsight,wall-island,353.3,
2019-12-20,Black,V3,6ae9c1d096be2c74317f792525022d88,5.0,Flash,wall-mezzanine,39.7,
2019-12-20,Blue,V4,f3f45fc87c0d9f759567c041355c446e,5.0,Red Point,wall-mezzanine,39.7,
2019-12-20,Lime Green,V4,50048da5b9c46c6bf942ed2982c416c5,5.0,Flash,wall-mezzanine,39.7,
2019-12-20,White,V3,d7578e648a3dc4c56fe73584f3e8f38d,5.0,Flash,wall-mezzanine,39.7,
2019-12-20,Tan,V6,020af7535b31bf78705a778ea771ec65,5.0,Red Point,wall-mezzanine,114.6,
