date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-06-27,Pink,5.11d,fb76cafe83074886612f954215722eac,3.0,Onsight,wall-island,105.7,
2019-06-26,Pink,V6,9b96b7bdb42a7c191dc81f8331b4313c,3.0,Red Point,wall-boulders,736.4,
2019-06-26,Lime Green,V2,251d52490fcdb4f8d5c9f0aa65dcfbdc,3.0,Flash,wall-boulders,793.8,
2019-06-26,White,V3,dc22e056c53bea7211bde34eaaf3b79d,3.0,Flash,wall-boulders,793.8,
2019-06-26,Tan,V1,808ff2ac7d083bdad288cda3be76b4bc,3.0,Flash,wall-boulders,793.8,
2019-06-26,Black,V5,1014e66a5332d24fad4073a8d3124cde,3.0,Red Point,wall-boulders,736.4,
2019-06-26,Yellow,V5,d449c3565034ff371fe6b52643d53e14,3.0,Flash,wall-boulders,736.4,
2019-06-26,Blue,V4,a5678d795e55e3b9b4a098ca77021bef,3.0,Flash,wall-boulders,736.4,
2019-06-26,Red,V3,cb4fc02d93152b28c723804b78dcb7b7,3.0,Flash,wall-boulders,667.3,
2019-06-26,White,V2,9c8923a43dfdfbb7a30e15635bb87f25,3.0,Flash,wall-boulders,667.3,
