date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-01-05,Blue,V3,52a29bcf6befa27928fc797f7b433194,4.0,Red Point,wall-boulders,359.0,
2019-01-05,Blue,V3,8529ac476a0f1d8e3ad6ec4623ab4fce,5.0,Flash,wall-boulders,505.7,
2019-01-05,Black,V3,82c709dcc2a7d90fdb7fa51200be5274,5.0,Flash,wall-slab,118.8,
2019-01-05,Blue,V3,6a2f08d3f5bc19acf65fd0456eeefe75,3.0,Flash,wall-slab,192.9,
2019-01-05,Red,V3,df7c16072f34fa35f9ac685112aaff4a,5.0,Flash,wall-boulders,288.8,
2019-01-05,Lime Green,V3,8dfa655be0feb075be0dde7b5d366bce,5.0,Flash,wall-boulders,581.0,
2019-01-05,Black,V3,cae30a8237c6f657cfc8024ce2ca03eb,5.0,Flash,wall-boulders,359.0,
2019-01-05,Blue,V3,2ef2e89c6faaa25cf9f0ce980d0f31d4,5.0,Flash,wall-boulders,667.3,
2019-01-05,Tan,V3,a1f2c6530502b6752bff846110cb90f0,4.0,Red Point,wall-boulders,667.3,
2019-01-05,White,V3,4adeb546e2f9be85ac91e5d3d58a52c0,3.0,Red Point,wall-slab,192.9,
2019-01-05,Lime Green,V3,fd0ba91bb06387cf6aee0de1e3d32ae1,4.0,Flash,wall-boulders,423.0,
