date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-10-20,Red,V6,7e02a5eae8b6d6d7e55ad1803f0b35a7,3.0,Red Point,wall-boulders,222.0,
2019-10-20,Lime Green,V5,889b06e9dd36039cdf3f1eb74ad410fc,3.0,Flash,wall-boulders,222.0,
2019-10-20,Blue,V8,1277bba79b3ff4135100e014c6c581f7,3.0,Red Point,wall-boulders,161.2,
2019-10-20,Tan,V6,41696e4eec6134ec9398957838cc032e,3.0,Flash,wall-boulders,87.1,tore my mcl.  but i flashed so thats what matters most. 
2019-10-07,Red,V8,01f6b8c7e24cb5fdded7c9c24f71361a,3.0,Flash,wall-boulders,423.0,
2019-10-07,White,V6,7afb73e390eafc8d55b0f362b437a88e,3.0,Flash,wall-boulders,581.0,
2019-10-07,White Low Start,V4,fae6020c4ba341d60cd5eef64a8492e7,3.0,Flash,wall-boulders,505.7,
2019-10-07,Blue,V7,b416b7afee1717c4cee1697819e2e260,3.0,Flash,wall-boulders,505.7,
2019-10-07,Pink High Start,V3,7cb5b735dfa9a9feb215bd1be28d1d01,3.0,Flash,wall-boulders,505.7,
2019-10-07,Black,V6,e6d9144945ad1f4bd5039b9e371d7e71,3.0,Flash,wall-boulders,423.0,
