date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-02-20,Yellow,V3,6ab38b6e926c4f6a05c634847a3d59f2,5.0,Red Point,wall-mezzanine,39.7,
2020-02-20,Yellow,V3,e7baec3392ef529bbc5a4a8edadac691,4.0,Red Point,wall-mezzanine,39.7,
2020-02-20,Tan,V4,869bc5cb7790360cfc736284f7cd7f6b,5.0,Red Point,wall-mezzanine,39.7,
2020-02-19,Yellow,5.9,d2aa312133433efb9dab8c6359cc009a,,Red Point,wall-back-wall,-0.7,
2020-02-19,Purple,5.10a,3367c4d06c93f4c7198f49fbc31c31ad,,Red Point,wall-island,445.8,
2020-02-16,Yellow,5.9,d2aa312133433efb9dab8c6359cc009a,5.0,Red Point,wall-back-wall,-0.7,
2020-02-16,Pink,5.9,17a1e26ab29b0bdd0bdac8b3ad7e4564,4.0,Red Point,wall-back-wall,70.9,
2020-02-16,Tan,5.10a,d4bbbe4dd8644ecad075bbbc13256f34,5.0,Red Point,wall-island,561.5,
2020-02-16,Tan,5.10b,98f6e50d67c98e00f34d8c0685da6eee,4.0,Red Point,wall-back-wall,791.7,
2020-02-16,Lime Green,5.10a,f66e3542e8ea378346e9fb674cfd9dab,5.0,Red Point,wall-red,230.0,
2020-02-13,Tan,V2,7a2b4c834d4d16ece848cb04db0cf4ff,4.0,Red Point,wall-boulders,161.2,
2020-02-13,Red,V3,1bd59122a529a7b90bb0d6fe404ff817,4.0,Red Point,wall-boulders,87.1,
2020-02-13,White,V3,26f5811ddc1c846ae070f27b16433dba,,Red Point,wall-mezzanine,114.6,
2020-02-11,Red,5.8,3b7cfdda6f7d8e18d533fb20056dad1e,4.0,Red Point,wall-back-wall,1408.5,
2020-02-11,Purple,5.9,b474a833dd5f9db46898ddcc1107db00,4.0,Red Point,wall-back-wall,1251.0,
2020-02-11,Blue,5.9,a09666f7f26ae192d4d64872d576bb1c,4.0,Red Point,wall-island,128.1,
2020-02-11,Blue,5.9,7381068f3c7fd984617aa2d9d23e87ee,4.0,Red Point,wall-island,504.9,
2020-02-11,Black,5.10a,422eb4cf58bb8d9ddd1e232528f2fa1f,4.0,Red Point,wall-island,182.8,
