date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-10-23,Yellow,V1,9ee9f63a82057842befb11a2e9a6a117,,Flash,wall-boulders,87.1,
2020-10-23,Lime Green,V0,48865bfac77a9d40b06a320c28deec62,,Flash,wall-boulders,87.1,
2020-10-23,Blue,V3,95778a3b09e56dc33b5adb3e8d97ea42,,Flash,wall-boulders,87.1,
2020-10-23,Yellow,V0,9f2231636121087266b7cfd6f7f39a44,,Flash,wall-boulders,87.1,
2020-10-23,Red,V1,d96d0dbc5bf73d188bccf346795f9ad2,,Flash,wall-boulders,222.0,
2020-10-23,Black,V2,fb11b614b2ac509c20516180fe6a6d18,,Flash,wall-boulders,222.0,
2020-10-22,Lime Green,5.9,c71147b2cf2c6ece84693ddad2e2e548,,Onsight,wall-red,155.6,
2020-10-22,White,5.10a,4fc1f1b8517e3ceefac677481c4abc04,,Onsight,wall-red,133.9,
2020-10-21,Tan,V0,21d422a91cfce2c8bbc565b980fc50a0,,Flash,wall-boulders,288.8,
2020-10-21,White,V2,117b27492259e57a093242bb7271560c,,Flash,wall-boulders,288.8,
2020-10-21,Blue,V0,b3c0e6bacfea87128ff93fd5b1d886d2,,Flash,wall-boulders,793.8,
2020-10-21,Tan,V2,79f6205f9711fa5e9da5367160e3d6be,,Flash,wall-boulders,793.8,
2020-10-21,Purple,V4,8893fb2b872d9d51e36e3c50526cdc83,,Flash,wall-boulders,736.4,
2020-10-21,Blue,V2,b9e8586a13202a5ee6f6eb7bc7f5028e,,Flash,wall-boulders,667.3,
2020-10-21,White,V1,c8ccaa866be53378a0cdfd369ded11af,,Flash,wall-boulders,667.3,
2020-10-21,White,V1,2ed533fbfc05d560c30de9fc2e95af91,,Flash,wall-boulders,359.0,
2020-10-21,Tan,V3,b1cf289c84badfc27752c2898129faf6,,Flash,wall-boulders,359.0,
2020-10-21,Yellow,V5,809653e92039564e6c899a6f13f3d8fd,,Red Point,wall-boulders,288.8,
