date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-11-25,Lime Green,V2,1f724c46c0f35482f2a890e8d90ec3db,3.0,Attempt,wall-slab,192.9,
2018-11-25,Purple,5.8,119b31b4dba526aea5d62c31f626cf25,3.0,Flash,wall-back-wall,1018.7,
2018-11-25,Black,5.8,4015a93042c73ec47c5a87be56181d96,3.0,Attempt,wall-island,445.8,
2018-11-25,Red,5.11b,2702bbbd056f2829e0aa76f8af826152,3.0,Top Rope,wall-red,133.2,
2018-11-25,White,5.10d,8b6acfffc55a55df892b6418ca45d97d,3.0,Attempt,wall-red,155.6,
2018-11-25,Blue,5.9,a2cb0087a5168a8d295f1c84174849b5,3.0,Attempt,wall-back-wall,1167.3,
2018-11-25,Red,5.10a,a5bf0adea6e82688938323f0b4e0e97f,3.0,Attempt,wall-back-wall,243.6,
2018-11-25,Blue,5.9,e47441c92aedecffb6b0fff9774a8502,3.0,Top Rope,wall-back-wall,141.7,
2018-11-25,Purple,5.8,0bfa2b862dc36c86a3cc06e7e1e6a3ec,3.0,Flash,wall-red,51.5,
2018-11-24,Black,5.9,0af280ea8ef9c40f98829af053e256e2,3.0,Attempt,wall-island,59.4,
2018-11-24,Tan,5.9,56e118ce1b3fe2d48cdf68d7dca777bc,3.0,Attempt,wall-back-wall,1292.9,
2018-11-24,Yellow,5.9,965dc523ca296145bc0b855115097ef2,3.0,Attempt,wall-back-wall,190.5,
2018-11-24,Black,5.9,64e9295e6c39149d34ec90bcfed7ebbe,3.0,Attempt,wall-back-wall,741.6,
2018-11-24,Pink,5.10b,f91b4d6287c54a229a2d2727bffa76d5,3.0,Attempt,wall-back-wall,1175.7,
2018-11-21,Red,5.9,557763ffe260057a5ae2d9ee96454479,3.0,Attempt,wall-back-wall,1067.3,
2018-11-21,Lime Green,5.8,3de90472436ea567030af4d6db05283d,3.0,Flash,wall-back-wall,1098.7,
2018-11-21,Lime Green,5.9,3ba580b6334140a3ec6319099eb52586,3.0,Attempt,wall-back-wall,252.2,
2018-11-21,Blue,5.10c,d7d5d958546aae0bcdb3c1bd1fa8088a,3.0,Top Rope,wall-back-wall,17.1,
2018-11-21,Red,5.11d,2f96bcfffa971656feb683ecffac3941,3.0,Top Rope,wall-island,444.9,
2018-11-21,Pink,5.10b,0fa2dedfecdd7fcea39c75ee106cfb9a,3.0,Attempt,wall-island,315.9,
