date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-11-30,Blue,5.9,e47441c92aedecffb6b0fff9774a8502,4.0,Top Rope,wall-back-wall,141.7,
2018-11-30,Yellow,5.9,6637fd4889ac683a345e89136b3392c3,3.0,Top Rope,wall-back-wall,871.9,
2018-11-30,Red,5.9,d97fae65bc5bc58f038ea5aaa6ebda9b,3.0,Top Rope,wall-island,340.1,
2018-11-30,Black,5.9,64e9295e6c39149d34ec90bcfed7ebbe,4.0,Top Rope,wall-back-wall,741.6,
2018-11-30,Pink,5.10c,46c42e99acfdb78a4ccdaac70747b921,3.0,Top Rope,wall-back-wall,1274.1,
2018-11-30,White,5.10c,18941b85269715b6f002e9830b5826a2,3.0,Top Rope,wall-back-wall,921.4,
2018-11-27,Blue,5.9,a0b01d738d70b37e524181969a3fb5e0,3.0,Top Rope,wall-auto-belay,497.7,
2018-11-27,Yellow,5.10c,2bfcdb08135305468cb32a0455c83433,2.0,Top Rope,wall-auto-belay,453.6,
2018-11-27,Red,5.10b,4bce53d580d55b392eec5d3091e18225,4.0,Top Rope,wall-auto-belay,418.8,
2018-11-27,Blue,5.10a,fb180e2aa8e1f737a9cd0a60ea8ca1bb,3.0,Top Rope,wall-auto-belay,390.5,
2018-11-27,Green,5.9,b9178643307bd900f312c6e36f6e8ecf,3.0,Top Rope,wall-fox,155.9,
2018-11-27,Green,5.10a,c8ab594c611fbbf6082b49aeae66c22d,4.0,Top Rope,wall-fox,49.2,
2018-11-24,Purple,V2,17155fa4e32f7056b1b4f013be75ae02,3.0,Flash,wall-mezzanine,39.7,
2018-11-24,Yellow,V4,5460d00441d47251ac79d5346a4eb407,3.0,Flash,wall-mezzanine,39.7,
2018-11-24,Lime Green,V2,1f724c46c0f35482f2a890e8d90ec3db,4.0,Flash,wall-slab,192.9,
2018-11-24,Yellow,V3,a183a744502653be60bdb41ff08c80bd,3.0,Red Point,wall-slab,48.7,
2018-11-24,Tan,V3,b43a4ecee61cff5dda0e20db3b881096,3.0,Red Point,wall-slab,118.8,
2018-11-24,Red,V2,7848afa6509cd9cf370dac551ff824c7,3.0,Flash,wall-slab,48.7,
2018-11-24,White,V3,5f166f02935d1b50802c9448008188a3,2.0,Red Point,wall-boulders,793.8,
2018-11-24,Tan,V4,ef55d734d524bb2ca8a4c5a61f6dae92,3.0,Flash,wall-slab,48.7,
2018-11-24,Lime Green Right,V1,a866aaf9aa0b72c8abb00b7f280a7c8c,3.0,Flash,wall-mezzanine,114.6,
2018-11-24,Yellow,V2,07a4c68577f2b814062f369dcb1261d1,3.0,Flash,wall-mezzanine,114.6,
2018-11-20,Lime Green,5.9,1523c1debae6dbc45d4a4921049ff109,3.0,Top Rope,wall-island,42.2,
2018-11-20,Blue,5.10a,3c067909ba0b920306a6eebc8e4a6bd7,3.0,Top Rope,wall-back-wall,968.7,
2018-11-20,Yellow,5.10b,2540fc03ff9c844ed187988efa0b9bfe,3.0,Top Rope,wall-back-wall,1019.6,
2018-11-20,Lime Green,5.9,3ba580b6334140a3ec6319099eb52586,3.0,Top Rope,wall-back-wall,252.2,
2018-11-20,Red,5.10b,ce3ce496cc495e497fa5d14014e82bed,3.0,Top Rope,wall-back-wall,1140.9,
2018-11-20,Pink,5.11a,431fb09c101bfd0955cf55e179330fba,4.0,Top Rope,wall-island,92.7,
2018-11-20,Blue,5.10c,a460c11911f8b4b683fe93b33fdf9945,4.0,Top Rope,wall-island,300.0,
2018-11-13,Yellow,5.8,c386ad731e429ee590d60fa4080ba017,3.0,Top Rope,wall-island,561.5,
2018-11-13,Pink,5.9,b851dc06788129b7ff2eafc7c6444f2c,3.0,Top Rope,wall-island,211.7,
2018-11-13,Blue,5.10a,cb81eb3f4bf56910ce09264355401b25,3.0,Top Rope,wall-back-wall,895.6,
