date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-10-28,Black,5.10d,99a679498e81fca7ab2592b390471ec3,3.0,Top Rope,wall-island,182.8,
2018-10-28,Blue,5.10c,9e18e776d5fc8792a8a62ff96c72dff8,5.0,Top Rope,wall-island,75.0,
2018-10-28,White,5.10d,8b6acfffc55a55df892b6418ca45d97d,3.0,Top Rope,wall-red,155.6,
2018-10-28,Purple,5.10b,fc329cc9647fee74276915071974bba9,3.0,Top Rope,wall-island,590.5,
2018-10-28,Pink,5.10b,0fa2dedfecdd7fcea39c75ee106cfb9a,3.0,Top Rope,wall-island,315.9,
2018-10-28,Yellow,5.9,d422919ba8534f48cab7b8914cb51a10,3.0,Top Rope,wall-island,365.2,
2018-10-28,Blue,5.10a,cb81eb3f4bf56910ce09264355401b25,5.0,Top Rope,wall-back-wall,895.6,
2018-10-28,Red,5.9,d97fae65bc5bc58f038ea5aaa6ebda9b,5.0,Top Rope,wall-island,340.1,
2018-10-28,Yellow,5.9,46e4d9a4e846cd208d560e292a934300,3.0,Top Rope,wall-back-wall,-1.5,
2018-10-28,Blue,5.10a,fb180e2aa8e1f737a9cd0a60ea8ca1bb,3.0,Top Rope,wall-auto-belay,390.5,
2018-10-28,Blue,5.10a,3c067909ba0b920306a6eebc8e4a6bd7,3.0,Top Rope,wall-back-wall,968.7,
2018-10-28,Red,5.8,39183f3d891a6944cb254f17c13f2ce6,3.0,Top Rope,wall-back-wall,922.4,
2018-10-27,Yellow,5.9,6637fd4889ac683a345e89136b3392c3,3.0,Top Rope,wall-back-wall,871.9,
2018-10-11,Blue,5.9,7fea851e41814ea7d0f457ba1172c9fa,3.0,Top Rope,wall-back-wall,70.1,
2018-10-09,Yellow,5.10b,7d74c9c4bbf3e7998dcd98d477e9e32b,3.0,Top Rope,wall-back-wall,1409.3,
2018-10-08,Yellow,5.8,c386ad731e429ee590d60fa4080ba017,4.0,Top Rope,wall-island,561.5,
2018-10-08,Pink,5.10a,e0fc30f83aa239dbbe1b01e851e9244d,3.0,Top Rope,wall-red,81.4,
2018-10-08,Purple,5.10a,eb5b01ae3e859057434a81e627be6523,4.0,Top Rope,wall-back-wall,1097.8,
2018-10-08,Lime Green,5.9,c3e404a1fbbda446b9644378f9dd0d06,3.0,Top Rope,wall-red,80.7,
