date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-11-15,Pink,5.9,88fe68f90d26bebd89a52906c75593a1,,Onsight,wall-island,366.1,
2020-11-15,White,5.11b,ed108b01441a16a29f705f137434b12e,,Attempt,wall-island,468.2,
2020-11-15,Yellow,5.11c,33ae52de593cc6c578dcbbb5f0dc9402,,Attempt,wall-island,444.9,
2020-11-15,Tan,5.9,b39db1e8a1fd6caffa17dffce744c88b,,Onsight,wall-island,44.3,
2020-11-15,Blue,5.10b,a25cf2e531b0ee4abe1813b0a31ac722,,Onsight,wall-island,42.2,
2020-11-15,Pink,5.11a,b2a7ab378ce5d790bbf0ca2d3f826b24,,Attempt,wall-island,603.0,
2020-11-10,Purple,5.10d,891d6acede184f49c913695b8d6179f9,,Onsight,wall-back-wall,1310.7,
2020-11-10,White,5.10c,45578b32a942cc8134de192485459246,,Flash,wall-back-wall,1140.9,
2020-11-10,Pink,5.10b,f3049acd0ee8bdb9966954bff8a5366e,,Flash,wall-back-wall,1097.8,
2020-11-10,Lime Green,5.11a,419fd6b241d3d6cd34227491afab59ad,,Flash,wall-back-wall,1169.1,
2020-11-10,Yellow,5.12a,18e9bb1d0e98f1cc72bb465a3e3a22b3,,Attempt,wall-back-wall,1175.0,
2020-11-10,Pink,5.11c,0a0112ef1fdbb48993e1280dee8e48b4,,Attempt,wall-back-wall,1199.9,
2020-11-10,White,5.10d,46374968e1dcc98410f230985d0a1f73,,Flash,wall-back-wall,1227.9,
2020-11-10,Yellow,5.10c,78c900ea705a031d22cc14bc822d6c9a,,Flash,wall-back-wall,1251.7,
2020-11-10,Blue,5.11b,0a3ac83a1e26a1660203c2ac4bbf6514,,Attempt,wall-back-wall,1274.1,
