date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-11-25,Blue,V6,3183bc9b7531a9b6ae047b4527f42000,4.0,Red Point,wall-mezzanine,39.7,
2018-11-25,Red,V6,49a2d3d8e9540e5bd79e078194aec396,4.0,Red Point,wall-mezzanine,39.7,
2018-11-25,Pink,V5,5adbbbc161bf5dd9e4bef68b5ce65fab,3.0,Red Point,wall-mezzanine,114.6,
2018-11-23,Tan,V0,69e3a0d2cf95c8bfb1b64d25e0e1f17b,3.0,Flash,wall-mezzanine,39.7,
2018-11-23,Lime Green,V2,3e97eacc3fc07b75005c532daa28ef21,3.0,Flash,wall-mezzanine,39.7,
2018-11-23,Purple,V0,305ffa1d42f836a43e24bee9b5fde416,3.0,Flash,wall-mezzanine,114.6,
2018-11-23,Purple,V2,17155fa4e32f7056b1b4f013be75ae02,3.0,Flash,wall-mezzanine,39.7,
2018-11-23,Lime Green Right,V1,a866aaf9aa0b72c8abb00b7f280a7c8c,3.0,Flash,wall-mezzanine,114.6,
2018-11-23,Pink,V3,395a27895a6aa1356fbceec4a69e68da,3.0,Flash,wall-mezzanine,39.7,
2018-11-23,Yellow,V2,07a4c68577f2b814062f369dcb1261d1,3.0,Flash,wall-mezzanine,114.6,
2018-11-23,Yellow,V4,5460d00441d47251ac79d5346a4eb407,3.0,Flash,wall-mezzanine,39.7,
2018-11-23,Black,V4,7d08c87341db6f56baaa7a78195285b6,3.0,Flash,wall-mezzanine,39.7,
2018-11-23,Lime Green Left,V3,64445ee603a26886e61f0355c1f5d248,3.0,Red Point,wall-mezzanine,114.6,
2018-11-23,Blue,V4,3e3c763c392a94dd257e9758710681f0,3.0,Red Point,wall-mezzanine,114.6,
2018-11-23,White,V3,9f266a781d2555dfb2c582289b0cf833,3.0,Red Point,wall-mezzanine,39.7,
2018-11-10,White,V5,d24ea5404ba33740217ab6c9aac2a1c0,3.0,Red Point,wall-slab,118.8,
2018-11-10,White,V7,14fb1c9b84be9f48a28108c3fb4e9170,4.0,Red Point,wall-boulders,423.0,
2018-11-09,Red,V6,8ed9eaf122a1d7cd7cae0a3013e59173,4.0,Red Point,wall-slab,192.9,
2018-11-09,Blue,V3,45f3c9bb3e99cc0002bf159f21b882bb,3.0,Flash,wall-slab,48.7,
2018-11-09,Red,V2,7848afa6509cd9cf370dac551ff824c7,3.0,Flash,wall-slab,48.7,
2018-11-09,Tan,V4,ef55d734d524bb2ca8a4c5a61f6dae92,4.0,Flash,wall-slab,48.7,
2018-11-09,Yellow,V3,a183a744502653be60bdb41ff08c80bd,4.0,Flash,wall-slab,48.7,
2018-11-09,Lime Green,V0,5217546b99127c60e449efb304728470,3.0,Flash,wall-slab,48.7,
2018-11-09,Pink,V4,db74fff4e2113a4bfed0de30777ba104,3.0,Red Point,wall-slab,118.8,
2018-11-09,Blue,V6,c7fc9927c0b4160caafd2876bbb9589b,4.0,Red Point,wall-slab,118.8,
2018-11-09,Tan,V2,7297dc08f72fc34b95b276256ee2acff,3.0,Flash,wall-slab,192.9,
2018-11-09,Yellow,V3,c7681bb87852118773ee3c0a72effd0d,3.0,Flash,wall-slab,192.9,
2018-11-09,Lime Green,V2,1f724c46c0f35482f2a890e8d90ec3db,3.0,Flash,wall-slab,192.9,
2018-11-09,Pink,V4,eb50fde2f6e2c8dac6455bd3052d565e,3.0,Flash,wall-slab,192.9,
2018-11-09,Purple,V0,1684f1e4b734ea9499254398e41b5e4b,3.0,Flash,wall-slab,192.9,
2018-11-06,Purple,V4,87d59baf8fe36415309751fa10f07e72,3.0,Red Point,wall-boulders,793.8,
2018-11-05,White,V3,5f166f02935d1b50802c9448008188a3,3.0,Red Point,wall-boulders,793.8,
2018-11-03,Lime Green,V5,dfd74058424eaf1a9210a83cd425355c,3.0,Red Point,wall-boulders,736.4,
2018-11-02,White,V4,f4497a15ea693a36f3ec19f633566fb8,3.0,Red Point,wall-boulders,793.8,
2018-11-02,Yellow,V4,0d3c8f669936e0b1cef22ea7651c3db6,4.0,Flash,wall-boulders,736.4,
2018-11-02,Purple,V5,72bdda21fbd02f79f43de8a801bd34d6,4.0,Red Point,wall-boulders,736.4,
2018-11-01,Red,V1,0159a1694c5ca00e09ff02850c911110,3.0,Flash,wall-boulders,793.8,
2018-11-01,Lime Green,V3,b721bc8ef2380c4ec2d9573e2ea8ac99,3.0,Red Point,wall-boulders,793.8,
2018-11-01,Yellow,V2,92a032663b87cc90878407938ec066a0,3.0,Flash,wall-boulders,793.8,
2018-11-01,Red,V5,e676217938e1107509e41eac5d0bf423,4.0,Red Point,wall-boulders,667.3,
2018-11-01,White,V0,e1b1c3f65b3a00525221d9cfa6c843e1,3.0,Flash,wall-boulders,667.3,
2018-11-01,Blue,V3,540dc9ec5b6a91cf32824140c1a49d74,5.0,Flash,wall-boulders,667.3,
2018-11-01,Lime Green,V3,e57ee7a8afcb3a983147d38f1a79aedc,3.0,Flash,wall-boulders,667.3,
