date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-02-19,Blue,V3,2a1d743ec2b91cbe1e388d759c3920c6,3.0,Red Point,wall-boulders,581.0,
2019-02-19,Lime Green,V2,726864e5a5b713ef4081c53abdf80793,3.0,Flash,wall-boulders,581.0,
2019-02-19,Red,V2,7b1a237a6966ddf01ddc6b608ac28544,4.0,Red Point,wall-boulders,793.8,
2019-02-19,Red,V2,7b1a237a6966ddf01ddc6b608ac28544,4.0,Flash,wall-boulders,793.8,
2019-02-19,Black,V1,53f6a9bbf290a18f0ad1ce3c12762c22,4.0,Flash,wall-boulders,793.8,
2019-02-19,Blue,V1,50083e9d51b64842ed16e0df244be875,4.0,Flash,wall-boulders,793.8,
2019-02-19,Purple,V2,6365a6ddab39ad83e744422ac50d736c,4.0,Flash,wall-boulders,793.8,
2019-02-19,Lime Green,V3,0f22038a7abae5f46e4bdee832a14100,3.0,Attempt,wall-boulders,736.4,
2019-02-15,Lime Green,V3,1713caf84e79fd07eb1d7019158b26ff,3.0,Flash,wall-mezzanine,39.7,
2019-02-07,Lime Green,V0,46e6224b81223c9a6daa42106e04ed28,3.0,Flash,wall-boulders,423.0,
2019-02-07,Pink,V2,bf2afe97a9a0636bf80037f9c710ccbc,3.0,Flash,wall-slab,48.7,
2019-02-07,Red,V2,334c0a6d0fdb2450a9cfa7886f17b1ed,3.0,Flash,wall-slab,118.8,
2019-02-07,Black,V3,013b40bd6cef5f1c302536af90a731f1,5.0,Flash,wall-slab,118.8,
