date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-01-26,Pink,V8,238231a1826c510cf0f526a26137ac19,3.0,Red Point,wall-boulders,288.8,
2019-01-26,White,V9,9a8517b6f4d88e39ba944e78db316794,5.0,Red Point,wall-boulders,288.8,
2019-01-26,Pink,V7,325287ed291e528f5e5a668933b7c16d,5.0,Flash,wall-boulders,359.0,
2019-01-26,Yellow,V7,d9164deccae3c4e1d895fadf3e8ab7eb,5.0,Flash,wall-boulders,359.0,
2019-01-26,Black,V10,594d62a1f67f6f488198da7dc357e773,5.0,Red Point,wall-boulders,359.0,
2019-01-26,Pink,V7,429a5e22521d7c79237916ca964a01da,5.0,Red Point,wall-boulders,359.0,
2019-01-21,Lime Green,V9,375d6e5fe63c0c83e07c40615745e792,5.0,Red Point,wall-boulders,505.7,
2019-01-21,White,V8,390653107ed5e1522162427753dedb1e,5.0,Red Point,wall-boulders,423.0,
2019-01-18,Black Low Start,V10,bbd87f04a72d2a2db7724d36100c0c4b,5.0,Red Point,wall-boulders,423.0,
2019-01-18,Pink,V9,5de8243736c392e088df0161bf66a9fd,5.0,Red Point,wall-boulders,423.0,
2019-01-18,Tan,V8,cf657b7dbb740a086533a3e7caf2da00,5.0,Flash,wall-boulders,581.0,
2019-01-18,Black High Start,V9,2c3d8c4e7e90ac4abc07684007555ce6,5.0,Flash,wall-boulders,423.0,
2019-01-10,Pink,V8,080db75d655ad48646a2ebc3ec0f3c46,3.0,Red Point,wall-mezzanine,39.7,
2019-01-10,White,V7,8d9acd1acaa3f5fe47ed88c1d901d8b3,5.0,Red Point,wall-mezzanine,114.6,
2019-01-10,Purple,V6,68478a57c4632aaf2ccd0694e79b8abf,3.0,Red Point,wall-mezzanine,114.6,
2019-01-10,Lime Green,V6,d90a251aa49132e13b81418acd1156b4,5.0,Red Point,wall-mezzanine,114.6,
