date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-06-25,Blue,5.10d,5099347f5f8eb29a315bedeeb0831a43,4.0,Flash,wall-island,395.6,
2019-06-25,White,5.9,bc6c2af75115565987b6a9cad5d7f3f6,4.0,Onsight,wall-island,420.7,
2019-06-25,Black,5.8,2e5fbea6a7c1075dd3824cdc2758b532,4.0,Onsight,wall-island,445.8,
2019-06-25,Black,5.10a,5fb519d8b78bbb79d5550f1337bf7b1e,3.0,Onsight,wall-back-wall,1274.8,
2019-06-05,Black,5.10a,3d003702bd00a97676172f02e58e5330,1.0,Onsight,wall-island,590.5,ew
2019-06-05,Purple,5.8,e4a399c527279cda65d4a66091fce5a8,5.0,Onsight,wall-back-wall,221.9,
2019-06-05,Yellow,5.9,c2c0b53e03323d6b6e87d3260c9d7ed5,4.0,Onsight,wall-back-wall,165.3,
2019-06-05,Black,5.10d,13b6c31d7e2988b7040a03ab2110eead,4.0,Flash,wall-back-wall,141.7,
2019-06-05,Purple,5.9,e4393227be16256b85ab2bc1f8085960,3.0,Onsight,wall-back-wall,124.1,
2019-06-05,Purple,5.8,c8069198bd7aeaebbb525c8e49b74e5e,4.0,Onsight,wall-back-wall,-2.4,
2019-06-05,Red,5.7,601792cf8eca45c7a40c78895364d141,3.0,Onsight,wall-back-wall,-1.5,
2019-06-05,Lime Green,5.8,d32ae27ec09dccc77fa96ae5257fb879,4.0,Onsight,wall-back-wall,684.0,
2019-06-05,Yellow,5.10a,4f809782bd641f2c2bebb1bd95c2944b,4.0,Onsight,wall-back-wall,243.4,fun sequence above the slot at the 4th bolt
2019-06-05,White,5.10a,f8f68ff0cf4709257334ec55ea02e1cb,4.0,Flash,wall-back-wall,191.4,fight the pump at the top!
