date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-02-16,White,V1,ab36be18dc16afdfc462f2efedf59e65,3.0,Flash,wall-boulders,359.0,
2019-02-16,Black,V2,3a4e4e98e14179e12c6a35c8c03a2573,3.0,Red Point,wall-boulders,359.0,
2019-02-16,Lime Green,V0,95008bdb438aa1cc49b25ab851a8179d,3.0,Flash,wall-slab,192.9,
2019-02-16,Pink,V2,bf2afe97a9a0636bf80037f9c710ccbc,3.0,Flash,wall-slab,48.7,
2019-02-16,Lime Green,V0,d507658c7872a92c58965c7603b9e061,3.0,Flash,wall-mezzanine,39.7,
2019-02-16,Purple,V0,60dee7544902f9a85c45012834c07078,3.0,Flash,wall-mezzanine,114.6,
2019-02-16,Blue,V1,c07fcdf02ea1e7c69b9181be93b009fd,3.0,Flash,wall-mezzanine,114.6,
2019-02-16,Blue,V2,f50926a4db431481e26ab9ae64ed5dc5,3.0,Flash,wall-mezzanine,114.6,
2019-02-16,Pink,5.9,5d39d37989f108ea53cb5e8f3111b717,3.0,Onsight,wall-auto-belay,221.5,
2019-02-16,Lime Green,5.9,8c03a96f1c2b6d4779936bed50457173,3.0,Onsight,wall-auto-belay,453.6,
2019-02-06,Black,5.11a,9ef0e5cb2b10f5eaed971ea662854a68,3.0,Red Point,wall-auto-belay,220.8,
2019-02-06,Blue,5.10a,1bbabbfcc57ae01cfe00198c98e00cbb,3.0,Onsight,wall-auto-belay,418.8,
2019-02-06,Purple,5.8,f9d99a910e1ddb75337f7ed7bc2282f5,3.0,Onsight,wall-auto-belay,68.9,
2019-02-06,Red,5.10a,4451dfe5d32c60b2dc4043317c65b7bd,3.0,Onsight,wall-island,211.7,
2019-02-06,White,5.10c,da9b8a266b2e2616ec807a87b2a40da2,3.0,Attempt,wall-island,245.4,
2019-02-06,Purple,5.10b,266f3f05f36df97cba09559cbf5d29d5,3.0,Onsight,wall-back-wall,1068.2,
