date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-09-30,Lime Green,V2,939ef4911ca4fe3913a16e11d44cac05,,Flash,wall-slab,192.9,
2020-09-30,Pink,V3,20f719652212b6159a713832b4f20c6f,,Flash,wall-slab,192.9,
2020-09-30,Tan,V1,611d86d546e58b31cccdb5aa8ce4596b,,Flash,wall-slab,192.9,
2020-09-30,Yellow,V3,13566d2288ec3f12d1eeb02038c61fd1,,Flash,wall-slab,118.8,
2020-09-30,Black,V7,80884cd7e9fa4eae75f23ebea8d8db39,,Red Point,wall-slab,118.8,
2020-09-30,Lime Green,V0,8a7fbc75e13e578cb755e187d5a108a1,,Flash,wall-slab,118.8,
2020-09-30,Red,V5,686b4fa820bb05ff9aa25f43fc9dd4c0,,Red Point,wall-slab,48.7,
2020-09-30,Tan,V1,11b01412794535ad6f454b241ac99dd8,,Flash,wall-slab,48.7,
2020-09-30,White,V2,88e5f35d6046a5767ddc418d44c49f56,,Flash,wall-slab,48.7,
2020-09-30,Black,V4,698ddccc89f25083110991b8efb206fe,,Flash,wall-slab,48.7,
2020-09-30,Yellow,V0,ce3f104d17bb70890daae8661f8e4a9b,,Flash,wall-slab,48.7,
2020-09-30,Pink,V1,b5f1d45f3376b1aaf29d15213b794b69,,Flash,wall-mezzanine,39.7,
2020-09-30,White,V4,cacf664babcfe059653d342695c80018,,Red Point,wall-mezzanine,39.7,
2020-09-30,Yellow,V4,bc88c43998b10cf87d2424d2a7af2d9d,,Red Point,wall-mezzanine,39.7,
2020-09-30,Blue,V3,d73717caec5a2bcb73b7d5da38aa3933,,Flash,wall-mezzanine,39.7,
2020-09-30,Red,V0,0a191f7681cdc31371ea1bf5d77373d8,,Flash,wall-mezzanine,39.7,
2020-09-30,Lime Green,V0,8d06857218d9570326674af1ec9e6880,,Flash,wall-mezzanine,114.6,
2020-09-30,Black,V3,d7bc99df0ae724fa5d921c9f6f59200a,,Flash,wall-mezzanine,114.6,
2020-09-30,White,V2,ffcfa86513806e6426187e8a9f187175,,Flash,wall-mezzanine,114.6,
