date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-03-16,Yellow,5.10c,3b0758532fe34ede5936bbb6c0c20963,,Top Rope,wall-back-wall,164.5,
2020-03-16,Tan,5.9,b9cb1cf9ec9f75709e1890d93aafbd6b,,Top Rope,wall-back-wall,190.5,
2020-03-16,White,5.10d,c3427850c4f142dfbe48314fc995e4ed,,Top Rope,wall-island,126.0,
2020-03-16,Purple,5.10a,24d62bc6af306d6953b346f8c7e568de,,Top Rope,wall-auto-belay,496.8,
2020-03-14,Lime Green,5.12a,ff7bbd5701add16598fb69da4a930c9c,,Top Rope,wall-island,212.3,
2020-03-14,Tan,5.10d,be30661c2bd96c8ed85c8b67488c80a7,,Top Rope,wall-red,81.4,
2020-03-14,Black,5.10b,13ff387d591c3e41be5c624cad000c08,,Top Rope,wall-red,79.7,
2020-03-14,White,5.10b,4219eddf4be44b4812986a9ab710b8ec,,Top Rope,wall-back-wall,222.7,
2020-03-14,Yellow,5.10b,93dc298f9659086b95b642c7d256a905,,Top Rope,wall-auto-belay,362.9,
2020-03-14,Tan,5.10c,69c89ac1d5494171eabd75a92027d922,,Top Rope,wall-auto-belay,451.9,
2020-03-12,Red,5.11b,25aa279574a3982e9b18c847290844ea,,Top Rope,wall-back-wall,741.6,
2020-03-12,White,5.10a,00327bfe261f835f23930ab7b482f28c,,Top Rope,wall-back-wall,896.6,
2020-03-12,Blue,5.10b,f7548636652d93efbf4657686dc7dfc8,,Top Rope,wall-back-wall,791.7,
2020-03-12,Pink,5.10c,b4048d2d98de486e7b2f548e9bfd2f15,,Top Rope,wall-red,156.9,
2020-03-12,White,5.10b,6bb7dcfbdafa07c167dccab17be15311,,Top Rope,wall-red,111.1,
2020-03-04,Red,5.12a,a0b6519e16d7b3589d70f47b20e4e973,,Top Rope,wall-island,184.9,
2020-03-04,Blue,5.10b,6c63d07dff924695a16a163ddb4df8e5,,Top Rope,wall-island,42.2,
2020-03-04,Tan,5.10c,911a3fab504895d45dcd360d5cf3574c,,Top Rope,wall-island,591.4,
2020-03-01,Tan,5.11a,889abb10ab5b39d740d53144e866726b,,Top Rope,wall-island,59.4,
2020-03-01,Black,5.10d,6a7823f03dd10d8a5bf54b1097e203d8,,Top Rope,wall-island,75.0,
2020-03-01,Yellow,5.11b,c0e5221bb959150314e1ee10b47b65e6,,Top Rope,wall-island,18.7,
2020-03-01,Lime Green,5.11b,f3cc76a7f1056b1406a81f952fdc8e12,,Top Rope,wall-auto-belay,390.5,
2020-03-01,Purple,5.9,3eab6c30f79c688587a7605616de59ec,,Top Rope,wall-auto-belay,196.9,
